합치다	結合	合為	完成	損傷
합하다	合為	完成	損傷	抓住
항공료	機票價	航班	抗議	損害
항공편	航班	抗議	損害	解決
항의	抗議	損害	解決	解決方案
해	損害	海外	海外旅遊	漢堡
해결	解決	解決方案	相闗	日出
해결책	解決方案	相闗	日出	海鮮
해내다	完成	損傷	抓住	傾向於
해당	相闗	日出	海鮮	解放
해돋이	日出	海鮮	解放	海灘
해롭다	有害	險峻	和暢	確實
해물	海鮮	解放	海灘	海膽
해방	解放	海灘	海鮮	解釋
해변	海灘	海鮮	解釋	講解
해산물	海鮮	解釋	講解	解除
해석	解釋	講解	解除	海水浴場
해설	講解	解除	海水浴場	海岸
해소	解除	海水浴場	海岸	核心
해수욕장	海水浴場	海岸	核心	手提包
해안	海岸	核心	手提包	太陽
해치다	損傷	抓住	傾向於	閒逛
핵심	核心	手提包	太陽	陽光
핸드백	手提包	太陽	陽光	行使
햇볕	太陽	陽光	行使	活動場地
햇살	陽光	行使	活動場地	幸運
행사	行使	腰部	健身房	舌頭
행사장	活動場地	幸運	行為	行政
행운	幸運	行為	行政	香
행위	行為	行政	香	香味
행정	行政	香	香味	改善
행하다	抓住	傾向於	閒逛	數數
향	香	香味	改善	香水
향기	香味	改善	香水	允許
향상	改善	香水	允許	向上
향수	香水	不准	允許	腰帶
향하다	傾向於	閒逛	數數	游泳
허가	允許	下方	腰帶	大腿
허락	允許	腰帶	大腿	不可以
허리띠	腰帶	大腿	允許	玄關
