자취	自炊	作家	作曲	作曲家
작가	作家	作曲	作曲家	運轉
작곡	作曲	作曲家	運轉	作文
작곡가	作曲家	運轉	作文	作成
작동	運轉	作文	作成	作業
작문	作文	作成	作業	作用
작성	作成	作業	作用	叔叔
작업	作業	作用	叔叔	小媽媽
작용	作用	叔叔	小媽媽	小房子
작은아버지	叔叔	小媽媽	小房子	戰術
작은어머니	小媽媽	小房子	戰術	作品
작은집	小房子	戰術	作品	零錢
작전	戰術	作品	零錢	草地
작품	作品	零錢	草地	嘮叨
잔돈	零錢	草地	嘮叨	餘額
잔디밭	草地	嘮叨	餘額	睡衣
잔뜩	滿滿地	迅速地	那裡	自行
잔소리	嘮叨	餘額	睡衣	蜻蜓
잔액	餘額	睡衣	蜻蜓	結婚
잘나다	很好	壯	低廉	適切
잘리다	砍	富裕	鎖	表示
잘살다	富裕	貧窮	鎖	下沉
잠그다	鎖	輸	下沉	睡著
잠기다	鎖	下沉	睡著	拉
잠기다	下沉	下沉	睡著	拉
잠들다	睡著	拉	抓來吃	被抓
잠옷	睡衣	蜻蜓	結婚	部長
잠자리	蜻蜓	結婚	部長	長期間
잡아당기다	拉	抓來吃	被抓	秤
잡아먹다	抓來吃	被抓	秤	使睡
잡히다	被抓	秤	使睡	像那樣
장가	結婚	部長	長期間	玩笑
장관	部長	長期間	玩笑	長子
장기간	長期間	玩笑	長子	利弊
장기적	長期	積極的	全國	專業的
장난	玩笑	長子	利弊	未來
장남	長子	利弊	未來	葬禮
장단점	利弊	未來	葬禮	類型
장래	未來	葬禮	類型	雨季
장례식	葬禮	類型	雨季	場景
