허벅지	大腿	允許	玄關	現代
허용	允許	玄關	現代	現代的
허허	哈哈	或許	突然	確實地
헌	舊	間接的	感動的	個人的
험하다	險峻	和暢	確實	明亮
헤매다	閒逛	數數	游泳	被罵
헤아리다	數數	游泳	被罵	罵
헤엄치다	游泳	被罵	罵	偷
현관	玄關	現代	現代的	現象
현대	現代	現代的	現象	現實
현대인	現代的	現象	現實	現場
현대적	現代的	實際的	幻想的	積極的
현상	現象	現實	現場	合作
현실	現實	現場	合作	協助
현실적	實際的	幻想的	積極的	有效的
현장	現場	合作	協助	哥哥
협력	合作	協助	哥哥	形成
협조	協助	哥哥	形成	形式
형님	哥哥	形成	形式	樣子
형성	形成	形式	樣子	情況
형식	形式	樣子	情況	優恵
형태	樣子	情況	優恵	好感
형편	情況	優恵	好感	好奇心
혜택	優恵	好感	好奇心	核桃
호감	好感	好奇心	核桃	荷爾蒙
호기심	好奇心	核桃	荷爾蒙	南瓜
호두	核桃	荷爾蒙	南瓜	房間
호르몬	荷爾蒙	南瓜	房間	口袋
호박	南瓜	房間	口袋	呼吸
호실	房間	口袋	呼吸	奇數
호주머니	口袋	呼吸	奇數	主頁
호흡	呼吸	奇數	主頁	宣傳
혹은	或許	突然	確實地	敞開
혼나다	被罵	罵	偷	擺動
혼내다	罵	偷	擺動	流過
홀수	奇數	主頁	宣傳	洪水
홈페이지	主頁	宣傳	洪水	火：星期二
홍보	宣傳	洪水	火：星期二	畫面
홍수	洪水	火：星期二	畫面	花盆
화	火：星期二	畫家	衛生間	化妝品
