인격	人格	人工	人口	人行道
인공	人工	人口	人行道	人手
인구	人口	人行道	人手	人性
인도	人行道	人手	人性	角色
인력	人手	人性	角色	人參茶
인류	人性	角色	人參茶	長相
인물	角色	人參茶	長相	提高
인삼차	人參茶	長相	提高	印象
인상	長相	提高	印象	人生
인상	提高	提高	印象	人生
인상	印象	提高	印象	人生
인상적	印象深刻的作品	一般的	常規	暫時的
인생	人生	認識	印刷	立即
인쇄	印刷	印弓日人	立即	認出
인쇄물	印刷	立即	認出	人心
인스턴트	立即	認出	人心	姻緣
인식	認出	人心	姻緣	引述
인심	人心	姻緣	引述	人員
인연	姻緣	引述	人員	人力資源
인용	引述	人員	人力資源	人情
인원	人員	人力資源	人情	認可
인재	人力資源	人情	認可	人體
인정	人情	認可	人體	採訪
인정	認可	認可	人體	採訪
인체	人體	採訪	降	日：星期日
인터뷰	採訪	降	日：星期日	日溫差很大
인하	降	日：星期日	日溫差很大	一帶
인하다	因為	起身	被讀	謮
일	日：星期日	日記	日本	部份
일곱째	第七天	第一	千萬	九
일교차	日溫差很大	一帶	一等	一般
일단	先	特意地	逐個	提早地
일대	一帶	一等	一般	民眾
일등	一等	一般	民眾	日本語
일반	一般	民眾	日本語	日本人
일반인	民眾	日本語	日本人	一部份
일반적	一般的	常規	暫時的	自然的
일본어	日本語	日本人	一部份	日常
일본인	日本人	一部份	日常	日常生活
일부러	特意地	逐個	提早地	一直
