거지	乞丐	假	泡沫	對面
거짓	假	泡沫	對面	馬路
거치다	經過	交錢	遞過去	觸碰
거칠다	粗糙	擔心	黑色的	豪華
거품	泡沫	對面	馬路	建設
걱정스럽다	擔心	黑色的	豪華	香
건너	對面	馬路	建設	乾電池
건널목	馬路	建設	乾電池	乾燥
건네다	交錢	遞過去	觸碰	撈出
건네주다	遞過去	觸碰	撈出	挽起
건드리다	觸碰	撈出	挽起	收
건설	建設	乾電池	乾燥	建築
건전지	乾電池	乾燥	建築	抹布
건조	乾燥	建築	抹布	檢察官
건지다	撈出	挽起	收	掛在
건축	建築	抹布	檢察官	搜索
걷다	挽起	跑步	掛	走去
걷다	收	跑步	掛	走去
걸레	抹布	檢察官	搜索	審核
걸치다	掛在	害怕	遭遇	忍住
검다	黑色的	豪華	香	痛苦的
검사	檢察官	工事	黑色	外部
검색	搜索	審核	害怕	外表
검토	審核	害怕	外表	外套
겁	害怕	外表	外套	螃蟹
겁나다	害怕	遭遇	忍住	接連而至
겉모습	外表	外套	螃蟹	發布
겉옷	外套	螃蟹	發布	公告欄
게	螃蟹	發布	公告欄	冬季
게시	發布	公告欄	冬季	鼓勵
게시판	公告欄	冬季	鼓勵	見學
겨우	僅僅	絕對	馬上	緊接著
겨울철	冬季	鼓勵	見學	見解
격려	鼓勵	見學	見解	缺勤
겪다	遭遇	忍住	接連而至	謝謝
견디다	忍住	接連而至	謝謝	打呼
견학	見學	見解	缺勤	結論
견해	見解	缺勤	結論	決
결국	結局	這些	後天	全
결근	缺勤	結論	決	結算
