몸통	身軀	釘子	描述	漠不關心
몹시	相當	全部	足足有	安全地
못	釘子	非常	提前	亂
못나다	醜陋的	壞	不亞於	無闗
못되다	壞	不亞於	無闗	熱
못지않다	不亞於	無闗	熱	滑
몽땅	全部	足足有	安全地	默默
묘사	描述	漠不關心	武器	花紋
무-	無	有	勿	沒
무관심	漠不關心	武器	花紋	舞台
무관하다	無闗	熱	滑	不冷不熱
무기	武器	花紋	舞台	暑熱
무너지다	倒塌	害怕的	住	繫
무늬	花紋	舞台	暑熱	墳墓
무대	舞台	暑熱	墳墓	一群
무더위	暑熱	墳墓	一群	忽視
무덤	墳墓	一群	忽視	貿易
무덥다	熱	滑	不冷不熱	討厭
무려	足足有	安全地	默默	突然
무렵	時分	忽視	貿易	跳舞
무리	一群	忽視	貿易	跳舞
무사히	安全地	默默	突然	還沒有
무서워하다	害怕的	住	繫	感謝
무시	忽視	貿易	跳舞	無意義
무역	貿易	跳舞	無意義	彩虹
무용	跳舞	無意義	彩虹	不負責任
무의미	無意義	彩虹	不負責任	文具店
무조건	無條件	馬上	平常	日日夜夜
무지개	彩虹	不負責任	文具店	文明
무책임	不負責任	文具店	文明	花店
묵다	住	睡	繫	沾
묵묵히	默默	突然	還沒有	與
묶다	繫	謀生	沾	埋
묶이다	繫	沾	埋	買
문구점	文具店	文明	花店	文法
문득	突然	還沒有	與	立即
문명	文明	文具店	文法	探病
문방구	文具店	文法	探病	文書
문법	文法	探病	文書	諮詢
문병	探病	文書	諮詢	文字
