둘러보다	環視（周圍）	放手	圍起來	跟在後面
둘러싸다	圍起來	戲弄	跟在後面	落後
둘러싸이다	圍起來	跟在後面	落後	放走
둘레	周長	巢	背面	後街
둥글다	圓形的	遲來	稀有的	踏實的
둥지	巢	背面	後街	背部
뒤늦다	遲來	稀有的	踏實的	硬
뒤따르다	跟在後面	追上	落後	翻找
뒤떨어지다	落後	謀生	翻找	反過來
뒤지다	落後	翻找	反過來	來來去去
뒤지다	翻找	翻找	反過來	來來去去
뒤집다	反過來	來來去去	曝露	顯露
뒤편	背面	後街	背部	後門
뒷골목	後街	背部	後門	後山
뒷모습	背部	後門	後山	吹髮
뒷문	後門	後山	吹髮	駕駛
뒷산	後山	吹髮	駕駛	吹風機
드나들다	來來去去	曝露	顯露	傳回
드라이	吹髮	駕駛	吹風機	乾洗
드라이브	駕駛	吹風機	乾洗	裙子
드라이어	吹風機	乾洗	裙子	聽
드라이클리닝	乾洗	裙子	聽	登記
드러나다	曝露	顯露	傳回	給人聽
드러내다	顯露	傳回	給人聽	得
드레스	裙子	聽	登記	登錄
드물다	稀有的	踏實的	硬	清楚的
든든하다	踏實的	硬	清楚的	傑出的
듣기	聽	登記	登錄	學費
들려오다	傳回	給人聽	得	被抬起
들려주다	給人聽	得	被抬起	介入
들리다	得	進去	進來	離開
들리다	被抬起	進去	進來	離開
들어서다	介入	答應	進去看	招攬
들어주다	答應	進去看	招攬	被發現
들여다보다	進去看	招攬	被發現	摘
들이다	招攬	被發現	摘	跟去
들키다	被發現	摘	跟去	跟隨
등	一等	登山	設計	女兒
등	-等	登山	設計	女兒
등기	登記	登錄	學費	登記證
