장르	類型	雨季	場景	岳母
장마철	雨季	場景	岳母	玫瑰
장면	場景	岳母	玫瑰	商業
장모	岳母	玫瑰	商業	長命
장미꽃	玫瑰	商業	長命	裝飾
장사	商業	長命	裝飾	障礙
장수	長命	裝飾	障礙	障礙人
장식	裝飾	障礙	障礙人	丈人
장애	障礙	障礙人	丈人	優點
장애인	障礙人	丈人	優點	獎學
장인	丈人	優點	獎學	獎學金
장점	優點	獎學	獎學金	天賦
장하다	壯	低廉	適切	文雅的
장학	獎學	獎學金	天賦	煙灰缸
장학금	獎學金	天賦	煙灰缸	財產
재-	再	新	舊	老
재능	天賦	煙灰缸	財產	再生
재다	秤	使睡	像那樣	犯
재떨이	煙灰缸	財產	再生	運氣
재빨리	迅速地	那裡	自行	適度
재산	財產	再生	運氣	去年
재생	再生	運氣	去年	技能
재수	運氣	去年	技能	夾克
재우다	使睡	像那樣	犯	變少
재작년	去年	技能	夾克	審判
재주	技能	夾克	審判	在學
재킷	夾克	審判	在學	學生
재판	審判	在學	學生	回收
재학	在學	學生	回收	可回收物
재학생	學生	回收	可回收物	果醬
재활용	回收	可回收物	果醬	低級
재활용품	可回收物	果醬	低級	晚上
잼	果醬	低級	晚上	秤
쟤	那小孩	我的	近	輕
저-	初	處	新	近
저급	低級	晚上	秤	作者
저기	打擾一下	那個人	那邊	我們
저녁때	晚上	秤	作者	保存
저러다	像那樣	犯	變少	寫下
저렴하다	低廉	適切	文雅的	忙於
