만점	滿分	合格	滿足	漫畫書
만족	滿足	客滿	漫畫書	末期
만족감	滿足	漫畫書	末期	爭吵
만족스럽다	滿意	健全	棒	明確
만화책	漫畫書	末期	爭吵	講話
많아지다	增長	卷	泡	勸
말기	末期	爭吵	講話	口語
말끔히	乾乾淨淨	一聲不吭	盡情	隨意
말다	卷	正確	答對	繫
말다	泡	正確	答對	繫
말다툼	爭吵	講話	口語	心
말리다	勸	弄乾	壞掉	猶豫
말리다	弄乾	弄乾	壞掉	猶豫
말없이	一聲不吭	盡情	隨意	隨心所欲地
말투	講話	口語	心	雙薪
말하기	口語	心	雙薪	對面
맘	心	雙薪	對面	拼寫
맘껏	盡情	隨意	隨心所欲地	汪汪
맘대로	隨意	隨心所欲地	汪汪	好不容易
망가지다	壞掉	猶豫	搞砸	滅亡
망설이다	猶豫	搞砸	滅亡	接待
망치다	搞砸	滅亡	接待	挨
망하다	滅亡	接待	挨	應付
맞다	接待	答對	繫	吃飯
맞다	挨	答對	繫	吃飯
맞벌이	雙薪	對面	拼寫	棍子
맞서다	應付	迎接	猜測	託人
맞은편	對面	拼寫	棍子	吸引力
맞이하다	迎接	猜測	託人	承擔
맞춤법	拼寫	棍子	吸引力	辣味
맞히다	猜測	託人	承擔	聞到
맡기다	託人	承擔	聞到	吊在
맡다	承擔	聞到	吊在	吊
맡다	聞到	聞到	吊在	吊
매	棍子	吸引力	辣味	辣湯
매달다	吊在	吊	凝結	停留
매달리다	吊	凝結	停留	放
매력	吸引力	辣味	辣湯	店鋪
매번	每次	無條件	馬上	平常
매운맛	辣味	辣湯	店鋪	苦味
