실컷	狠狠地	甚至	非常好	不必要的
실험	實驗	實現	疲勞	心理
실현	實現	疲勞	心理	差事
싫증	疲勞	心理	差事	審查
심각하다	嚴重	新鮮的	清冷	害羞的
심리	心理	差事	審查	心臟
심리적	心理	歷史的	藝術的	肉體的
심부름	差事	審查	心臟	心
심사	審查	心臟	心	審判
심장	心臟	心	審判	便宜貨
심정	心	審判	便宜貨	爭吵
심지어	甚至	非常好	不必要的	不
심판	審判	便宜貨	爭吵	廉價
십상	正好	現在	昨天	一整天
싱싱하다	新鮮的	清冷	害羞的	無用
싸구려	便宜貨	爭吵	廉價	一對
싸다	撒	吵架	堆積	切
싸움	爭吵	廉價	一對	雙胞胎
싸이다	包住	疊	腐爛	開
싼값	廉價	一對	雙胞胎	筆試
쌍	一對	雙胞胎	筆試	苦味
쌍둥이	雙胞胎	筆試	苦味	種子
쌓이다	疊	腐爛	開	倒
썩	非常好	不必要的	不	也許
썩다	腐爛	開	倒	倒出
썰렁하다	清冷	害羞的	無用	寂寞
쏘다	開	倒	倒出	吹
쏟다	倒	倒出	吹	酸痛
쏟아지다	倒出	吹	酸痛	摸
쐬다	吹	酸痛	摸	倒下
쑤시다	酸痛	摸	倒下	寫
쑥스럽다	害羞的	無用	寂寞	勇敢的
쓰기	筆試	苦味	種子	摔角
쓰다듬다	摸	倒下	寫	用
쓰러지다	倒下	寫	用	掃
쓰이다	寫	用	掃	戴上
쓰이다	用	用	掃	戴上
쓴맛	苦味	種子	摔角	甜味
쓸다	掃	戴上	沖刷	洗
쓸데없다	無用	寂寞	勇敢的	不是
