열기	熱氣	果實	鑰匙圈	熱情
열리다	打開	上漲	爬上去	爬上來
열매	果實	鑰匙圈	熱情	熱中
열쇠고리	鑰匙圈	熱情	熱中	染色
열정	熱情	熱中	染色	視頻
열중	熱中	染色	視頻	零上
열째	第十天	第七天	第一	千萬
염색	染色	視頻	零上	營養
엿보다	窺看	談得來	上下	爬上
영	全然	永遠	例如	很少
영리하다	聰明的	正確的	勇敢的	有趣的
영상	視頻	零上	營養	營養素
영상	零上	零上	營養	營養素
영양	營養	營養素	營業	區域
영양제	營養素	營業	區域	英雄
영업	營業	區域	英雄	永遠
영역	區域	英雄	永遠	影響
영웅	英雄	永遠	影響	影響力
영원	永遠	影響	影響力	靈魂
영원히	永遠	例如	最近	很久很久
영향	影響	影響力	靈魂	電影導演
영향력	影響力	靈魂	電影導演	古
영혼	靈魂	電影導演	古	例
영화감독	電影導演	古	例	禮
예	古	哇	嗯	不是
예	例	哇	嗯	不是
예	禮	哇	嗯	不是
예감	預感	預告	存款	預防
예고	預告	存款	預防	預報
예금	存款	預防	預報	預備
예방	預防	預報	預備	預算
예보	預報	預備	預算	預想
예비	預備	預算	預想	預賽
예산	預算	預想	預賽	藝術家
예상	預想	預賽	藝術家	結婚禮堂
예선	預賽	藝術家	結婚禮堂	例外
예술가	藝術家	結婚禮堂	例外	禮儀
예술적	藝術的	肉體的	強制性的	異國的
예식장	結婚禮堂	例外	禮儀	禮節
예외	例外	禮儀	禮節	預定
