과장	課長	課長	過程	課題
과정	過程	課題	科學	科學家
과제	課題	科學	科學家	觀眾
과학	科學	科學家	觀眾	相闗者
과학자	科學家	觀眾	相闗者	觀覽
과학적	科學的	具體的	規律的	根本的
관객	觀眾	相闗者	觀覽	表演者
관계없다	沒闗係	闗係	痛	了不起的
관계없이	無闗	白白地	非常	執意
관계있다	闗係	痛	了不起的	保存
관계자	相闗者	觀覽	觀眾	關聯
관람	觀覽	觀眾	關聯	管理
관람객	觀眾	關聯	管理	關心事
관련	關聯	管理	關心事	觀點
관리	管理	關心事	觀點	觀察
관심사	關心事	觀點	觀察	光景
관점	觀點	觀察	光景	折磨
관찰	觀察	光景	折磨	校園
광경	光景	折磨	校園	交替
괜히	白白地	非常	執意	還
괴로움	折磨	校園	交替	交流
괴롭다	痛	了不起的	保存	貴重的
괴롭히다	折磨	滾	彎	找
굉장하다	了不起的	保存	貴重的	高貴
굉장히	非常	執意	還	不怎麼
교내	校園	交替	交流	制服
교대	交替	交流	制服	教養
교류	交流	制服	教養	郊區
교복	制服	教養	郊區	教育費用
교시	-堂			
교양	教養	郊區	教育費用	教育家
교외	郊區	教育費用	教育家	校長
교육비	教育費用	教育家	校長	教材
교육자	教育家	校長	教材	更換
교장	校長	教材	更換	交通工具
교재	教材	更換	交通工具	教師
교체	更換	教材	交通工具	僑胞
교통수단	交通工具	運動	僑胞	教訓
교통편	交通工具	僑胞	教訓	區
교포	僑胞	教訓	區	可看的
