친딸	真正的女兒	真正的兒子	親生父親	親生母親
친아들	真正的兒子	親生父親	親生母親	姐姐
친아버지	親生父親	親生母親	姐姐	哥哥
친어머니	親生母親	姐姐	哥哥	娘家
친언니	姐姐	哥哥	娘家	唾液
친오빠	哥哥	娘家	唾液	安靜
친정	娘家	唾液	安靜	卡片
침	唾液	安靜	卡片	咖哩
침묵	安靜	卡片	咖哩	相機
칸	間	活動	切	窗簾
캄캄하다	黑暗	大的	令人愉快的	特別
캠페인	活動	切	窗簾	角落
커다랗다	大的	令人愉快的	特別	強
커지다	變大	著（火）	搭	沖
커트	切	窗簾	角落	喜劇
커튼	窗簾	角落	喜劇	課程
코너	角落	喜劇	課程	外套
코미디	喜劇	課程	外套	球場
코스	課程	外套	球場	鼻血
코트	外套	球場	鼻血	公寓
코트	球場	球場	鼻血	公寓
코피	鼻血	公寓	用鼻子哼	豆芽
콘도	公寓	用鼻子哼	豆芽	優惠券
콜록콜록	喀喀地	打鼾	砰的一聲	特別
콧노래	用鼻子哼	豆芽	優惠券	奶油
콩나물	豆芽	優惠券	奶油	主要街道
쾌적하다	令人愉快的	特別	強	胖乎乎的
쿠폰	優惠券	奶油	主要街道	一筆巨款
쿨쿨	打鼾	砰的一聲	特別	尤其
쿵	砰的一聲	特別	尤其	空蕩蕩
크림	奶油	主要街道	一筆巨款	長女
큰길	主要街道	一筆巨款	長女	長子
큰돈	一筆巨款	長女	長子	叔叔
큰딸	長女	長子	叔叔	嬸嬸
큰아들	長子	叔叔	嬸嬸	大事
큰아버지	叔叔	嬸嬸	大事	大伯家
큰어머니	嬸嬸	大事	大伯家	古典樂
큰일	大事	大伯家	古典樂	俱樂部
큰집	大伯家	古典樂	俱樂部	鑰匙
클래식	古典樂	俱樂部	鑰匙	吻
