결론	結論	決	結算	結合
결승	決	結算	結合	結婚禮堂
결제	結算	結合	結婚禮堂	謙虛
결코	絕對	馬上	緊接著	經常
결합	結合	結婚禮堂	謙虛	境界
결혼식장	結婚禮堂	謙虛	境界	警告
겸손	謙虛	境界	警告	景氣
겹치다	接連而至	謝謝	打呼	乘
경계	境界	警告	景氣	競技場
경고	警告	景氣	競技場	經歷
경기	景氣	警察	風景	經驗
경기장	競技場	經歷	景福宮	經費
경력	經歷	景福宮	經費	警衛室
경복궁	景福宮	經費	警衛室	經營
경비	經費	警衛室	經營	情況
경비실	警衛室	經營	情況	競爭
경영	經營	情況	競爭	競爭力
경우	情況	競爭	競爭力	經濟
경쟁	競爭	競爭力	經濟	經濟力
경쟁력	競爭力	經濟	經濟力	警官
경제	經濟	經濟力	警官	傾向
경제력	經濟力	警官	傾向	身邊
경제적	經濟的	經濟學	功績	科學的
경제학	經濟學	功績	科學的	具體的
경찰관	警官	傾向	身邊	溪谷
경향	傾向	身邊	溪谷	契機
곁	身邊	溪谷	契機	計算機
계곡	溪谷	契機	計算機	結帳櫃枱
계기	契機	計算機	結帳櫃枱	契約
계산기	計算機	結帳櫃枱	契約	契約金
계산대	結帳櫃枱	契約	契約金	契約書
계약	契約	契約金	契約書	開戶帳號
계약금	契約金	契約書	開戶帳號	階層
계약서	契約書	開戶帳號	階層	顧客
계좌	開戶帳號	階層	顧客	地瓜
계층	階層	顧客	地瓜	祖國
고객	顧客	地瓜	祖國	故宮
고구마	地瓜	祖國	故宮	高級
고국	祖國	故宮	高級	古代
고궁	故宮	高級	古代	孤獨
