가까이	靠近	有時	結局	這些
가꾸다	裝飾	栽培	關	落下
가꾸다	栽培	栽培	關	落下
가난	窮困	有錢	可能	可能性
가난하다	窮困	可能	平凡	富有
가능	可能	可能性	不行	路燈
가능성	可能性	可能	路燈	粉末
가능하다	可能	路燈	粉末	旱災
가두다	關	落下	阻擋	切
가득하다	滿滿	癢	懇切的	很少
가득히	滿滿地	暫時	傲慢	偷偷地
가라앉다	落下	阻擋	切	遮住
가렵다	癢	懇切的	痛	簡便
가로	橫向	各自	前天	明天
가로등	路燈	粉末	旱災	歌詞
가로막다	阻擋	切	遮住	辨別
가루	粉末	旱災	歌詞	瓦斯
가르다	切	遮住	辨別	靜靜地
가리다	遮住	辨別	靜靜地	帶來
가리다	辨別	辨別	靜靜地	帶來
가만	暫時	傲慢	偷偷地	艱辛
가만있다	靜靜地	帶來	被關	換（繃帶）
가만하다	傲慢	偷偷地	艱辛	越來越
가만히	偷偷地	艱辛	越來越	斗膽
가뭄	旱災	歌詞	瓦斯	瓦斯爐
가사	歌詞	瓦斯	瓦斯爐	加濕器
가스	瓦斯	瓦斯爐	加濕器	加入
가스레인지	瓦斯爐	加濕器	加入	加入者
가습기	加濕器	加入	加入者	家長
가입	加入	加入者	家長	家電產品
가입자	加入者	家長	家電產品	家庭
가장	家長	簡單地	突然	一起
가전제품	家電產品	家庭	假設	家庭主婦
가정	家庭	假設	家庭主婦	皮
가정	假設	假設	家庭主婦	皮
가정주부	家庭主婦	皮	樹汁	假
가져다주다	帶來	被關	換（繃帶）	裂開
가죽	皮	樹汁	假	價值
가지	樹汁	假	價值	價值觀
가짜	假	價值	價值觀	天主教
