화면	畫面	花盆	妝	梳妝台
화분	花盆	妝	梳妝台	紙巾
화장	妝	梳妝台	紙巾	火災
화장대	梳妝台	紙巾	火災	話題
화장지	紙巾	火災	話題	貨幣
화재	火災	話題	貨幣	和解
화제	話題	貨幣	和解	放大
화창하다	和暢	確實	明亮	活躍的
화폐	貨幣	和解	放大	確保
화해	和解	放大	確保	擴散
확	突然	確實地	敞開	經常
확대	放大	確保	擴散	確信
확보	確保	擴散	確信	確認
확산	擴散	確信	確認	擴張
확신	確信	確認	擴張	環境
확실하다	確實	明亮	活躍的	後悔
확실히	確實地	敞開	經常	用力
확인	確認	擴張	環境	退款
확장	擴張	環境	退款	幻想
환경	環境	退款	幻想	中轉站
환불	退款	幻想	中轉站	歡迎會
환상	幻想	中轉站	歡迎會	匯率
환상적	幻想的	積極的	有效的	高效的
환승역	中轉站	歡迎會	匯率	活力
환영회	歡迎會	匯率	活力	活動
환율	匯率	活力	活動	活用
환하다	明亮	活躍的	後悔	常見的
활기	活力	活動	活用	生魚片
활동	活動	活用	生魚片	會談
활동적	積極的	有效的	高效的	誰也
활발하다	活躍的	後悔	常見的	有趣的
활용	活用	生魚片	會談	恢復
활짝	敞開	經常	用力	無力地
회	生魚片	會談	恢復	會費
회담	會談	恢復	會費	一起用餐
회복	恢復	會費	一起用餐	會議室
회비	會費	一起用餐	會議室	會長
회식	一起用餐	會議室	會長	對話
회의실	會議室	會長	對話	數字
회장	會長	對話	數字	效果
