definite	(adj) 明確的,確切的	(adj) 絕對的;完全的	(adj) 抽象的	(adj) 學術的
absolute	(adj) 絕對的;完全的	(adj) 抽象的	(adj) 學術的	(adj) 偶然的;意外的
abstract	(adj) 抽象的	(adj) 學術的	(adj) 偶然的;意外的	(adj) 酸性的;有酸味的
academic	(adj) 學術的	(adj) 偶然的;意外的	(adj) 酸性的;有酸味的	(adj) 足夠的
accidental	(adj) 偶然的;意外的	(adj) 酸性的;有酸味的	(adj) 足夠的	(adj) 值得讚揚的;絕妙的
acid	(adj) 酸性的;有酸味的	(adj) 足夠的	(adj) 值得讚揚的;絕妙的	(adj) 好鬥的,挑釁的;有進取精神的
adequate	(adj) 足夠的	(adj) 值得讚揚的;絕妙的	(adj) 好鬥的,挑釁的;有進取精神的	(adj) 欣然贊同的
admirable	(adj) 值得讚揚的;絕妙的	(adj) 好鬥的,挑釁的;有進取精神的	(adj) 欣然贊同的	(adj) 警惕的;機敏的
aggressive	(adj) 好鬥的,挑釁的;有進取精神的	(adj) 欣然贊同的	(adj) 警惕的;機敏的	(adj) 業餘的;外行的
agreeable	(adj) 欣然贊同的	(adj) 警惕的;機敏的	(adj) 業餘的;外行的	(adj) 有野心的
alert	(adj) 警惕的;機敏的	(adj) 業餘的;外行的	(adj) 有野心的	(adj) 一年一次的;每年的
amateur	(adj) 業餘的;外行的	(adj) 有野心的	(adj) 一年一次的;每年的	(adj) 焦慮的,掛念的
ambitious	(adj) 有野心的	(adj) 一年一次的;每年的	(adj) 焦慮的,掛念的	(adj) 適當的,恰當的
annual	(adj) 一年一次的;每年的	(adj) 焦慮的,掛念的	(adj) 適當的,恰當的	(adj) 人工的
anxious	(adj) 焦慮的,掛念的	(adj) 適當的,恰當的	(adj) 人工的	(adj) 藝術的
appropriate	(adj) 適當的,恰當的	(adj) 人工的	(adj) 藝術的	(adj) 羞愧的
artificial	(adj) 人工的	(adj) 藝術的	(adj) 羞愧的	(adj) 夥伴的;共事的;副的;聯合的
artistic	(adj) 藝術的	(adj) 羞愧的	(adj) 夥伴的;共事的;副的;聯合的	(adj) 運動的,體育的;行動敏捷的
ashamed	(adj) 羞愧的	(adj) 夥伴的;共事的;副的;聯合的	(adj) 運動的,體育的;行動敏捷的	(adj) 原子的
associate	(adj) 夥伴的;共事的;副的;聯合的	(adj) 運動的,體育的;行動敏捷的	(adj) 原子的	(adj) 聽覺的,聲音的
athletic	(adj) 運動的,體育的;行動敏捷的	(adj) 原子的	(adj) 聽覺的,聲音的	(adj) 笨拙的;尷尬的
atomic	(adj) 原子的	(adj) 聽覺的,聲音的	(adj) 笨拙的;尷尬的	(adj) 禿頭的
audio	(adj) 聽覺的,聲音的	(adj) 笨拙的;尷尬的	(adj) 禿頭的	(adj) 破產的;已完全失敗的
awkward	(adj) 笨拙的;尷尬的	(adj) 禿頭的	(adj) 破產的;已完全失敗的	(adj) 一文不名的;破了產的
bald	(adj) 禿頭的	(adj) 破產的;已完全失敗的	(adj) 一文不名的;破了產的	(adj) 野蠻的;粗暴的
bankrupt	(adj) 破產的;已完全失敗的	(adj) 一文不名的;破了產的	(adj) 野蠻的;粗暴的	(adj) 特有的,獨特的
broke	(adj) 一文不名的;破了產的	(adj) 野蠻的;粗暴的	(adj) 特有的,獨特的	(adj) 圓形的;環形的
brutal	(adj) 野蠻的;粗暴的	(adj) 特有的,獨特的	(adj) 圓形的;環形的	(adj) 百姓的;民用的
characteristic	(adj) 特有的,獨特的	(adj) 圓形的;環形的	(adj) 百姓的;民用的	(adj) 笨拙的
circular	(adj) 圓形的;環形的	(adj) 百姓的;民用的	(adj) 笨拙的	(adj) 粗的,粗糙的
civilian	(adj) 百姓的;民用的	(adj) 笨拙的	(adj) 粗的,粗糙的	(adj) 滑稽的
clumsy	(adj) 笨拙的	(adj) 粗的,粗糙的	(adj) 滑稽的	(adj) 競爭的
coarse	(adj) 粗的,粗糙的	(adj) 滑稽的	(adj) 競爭的	(adj) 具體的
comic	(adj) 滑稽的	(adj) 競爭的	(adj) 具體的	(adj) 隨之發生的
competitive	(adj) 競爭的	(adj) 具體的	(adj) 隨之發生的	(adj) 保守的,守舊的
concrete	(adj) 具體的	(adj) 隨之發生的	(adj) 保守的,守舊的	(adj) 始終如一的,前後一致的
consequent	(adj) 隨之發生的	(adj) 保守的,守舊的	(adj) 始終如一的,前後一致的	(adj) 建設性的;積極的;有助益的
conservative	(adj) 保守的,守舊的	(adj) 始終如一的,前後一致的	(adj) 建設性的;積極的;有助益的	(adj) 滿意的;甘願的
consistent	(adj) 始終如一的,前後一致的	(adj) 建設性的;積極的;有助益的	(adj) 滿意的;甘願的	(adj) 不間斷的,連續的
constructive	(adj) 建設性的;積極的;有助益的	(adj) 滿意的;甘願的	(adj) 不間斷的,連續的	(adj) 連續的,不斷的
content	(adj) 滿意的;甘願的	(adj) 不間斷的,連續的	(adj) 連續的,不斷的	(adj) 相反的,對立的
continual	(adj) 不間斷的,連續的	(adj) 連續的,不斷的	(adj) 相反的,對立的	(adj) 習慣的,慣例的
