enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
abnormal	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的	(adj) 可(或易)接近的;可(或易)得到的
aboriginal	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的	(adj) 可(或易)接近的;可(或易)得到的	(adj) 附加的;附屬的
absentminded	(adj) 心不在焉的;健忘的	(adj) 可(或易)接近的;可(或易)得到的	(adj) 附加的;附屬的	(adj) 應負責任的;可說明的
accessible	(adj) 可(或易)接近的;可(或易)得到的	(adj) 附加的;附屬的	(adj) 應負責任的;可說明的	(adj) 尖銳的;敏銳的;劇烈的
accessory	(adj) 附加的;附屬的	(adj) 應負責任的;可說明的	(adj) 尖銳的;敏銳的;劇烈的	(adj) 管理的;行政的
accountable	(adj) 應負責任的;可說明的	(adj) 尖銳的;敏銳的;劇烈的	(adj) 管理的;行政的	(adj) 充滿深情的;溫柔親切的
acute	(adj) 尖銳的;敏銳的;劇烈的	(adj) 管理的;行政的	(adj) 充滿深情的;溫柔親切的	(adj) 含酒精的;酗酒的
administrative	(adj) 管理的;行政的	(adj) 充滿深情的;溫柔親切的	(adj) 含酒精的;酗酒的	(adj) 兩者(或若干)中擇一的
affectionate	(adj) 充滿深情的;溫柔親切的	(adj) 含酒精的;酗酒的	(adj) 兩者(或若干)中擇一的	(adj) 含糊不清的
alcoholic	(adj) 含酒精的;酗酒的	(adj) 兩者(或若干)中擇一的	(adj) 含糊不清的	(adj) 和藹可親的
alternative	(adj) 兩者(或若干)中擇一的	(adj) 含糊不清的	(adj) 和藹可親的	(adj) 分析的
ambiguous	(adj) 含糊不清的	(adj) 和藹可親的	(adj) 分析的	(adj) 有生命的;活潑的;有活力的
amiable	(adj) 和藹可親的	(adj) 分析的	(adj) 有生命的;活潑的;有活力的	(adj) 匿名的
analytical	(adj) 分析的	(adj) 有生命的;活潑的;有活力的	(adj) 匿名的	(adj) 南極的;南極區的
animate	(adj) 有生命的;活潑的;有活力的	(adj) 匿名的	(adj) 南極的;南極區的	(adj) 抗生的;抗菌的
anonymous	(adj) 匿名的	(adj) 南極的;南極區的	(adj) 抗生的;抗菌的	(adj) 合用的;可實施的
antarctic	(adj) 南極的;南極區的	(adj) 抗生的;抗菌的	(adj) 合用的;可實施的	(adj) 近似的;大概的
antibiotic	(adj) 抗生的;抗菌的	(adj) 合用的;可實施的	(adj) 近似的;大概的	(adj) 北極的;北極區的
applicable	(adj) 合用的;可實施的	(adj) 近似的;大概的	(adj) 北極的;北極區的	(adj) 傲慢的;自大的
approximate	(adj) 近似的;大概的	(adj) 北極的;北極區的	(adj) 傲慢的;自大的	(adj) 發音清晰的;口才好的
arctic	(adj) 北極的;北極區的	(adj) 傲慢的;自大的	(adj) 發音清晰的;口才好的	(adj) 出席的;伴隨的;侍候的
arrogant	(adj) 傲慢的;自大的	(adj) 發音清晰的;口才好的	(adj) 出席的;伴隨的;侍候的	(adj) 可信的;真實的
articulate	(adj) 發音清晰的;口才好的	(adj) 出席的;伴隨的;侍候的	(adj) 可信的;真實的	(adj) 令人敬畏的;非凡的
attendant	(adj) 出席的;伴隨的;侍候的	(adj) 可信的;真實的	(adj) 令人敬畏的;非凡的	(adj) 生物的;生物學的
authentic	(adj) 可信的;真實的	(adj) 令人敬畏的;非凡的	(adj) 生物的;生物學的	(adj) 奇異的;異乎尋常的
awesome	(adj) 令人敬畏的;非凡的	(adj) 生物的;生物學的	(adj) 奇異的;異乎尋常的	(adj) 荒涼的;陰冷的;無希望的
biological	(adj) 生物的;生物學的	(adj) 奇異的;異乎尋常的	(adj) 荒涼的;陰冷的;無希望的	(adj) 鈍的;遲鈍的;直率的
bizarre	(adj) 奇異的;異乎尋常的	(adj) 荒涼的;陰冷的;無希望的	(adj) 鈍的;遲鈍的;直率的	(adj) 輕快的;興旺的;寒冷而清新的
bleak	(adj) 荒涼的;陰冷的;無希望的	(adj) 鈍的;遲鈍的;直率的	(adj) 輕快的;興旺的;寒冷而清新的	(adj) 畜生的;畜生般的;殘忍的
blunt	(adj) 鈍的;遲鈍的;直率的	(adj) 輕快的;興旺的;寒冷而清新的	(adj) 畜生的;畜生般的;殘忍的	(adj) 體積大的;笨重的
brisk	(adj) 輕快的;興旺的;寒冷而清新的	(adj) 畜生的;畜生般的;殘忍的	(adj) 體積大的;笨重的	(adj) 被俘的;被迷住的
brute	(adj) 畜生的;畜生般的;殘忍的	(adj) 體積大的;笨重的	(adj) 被俘的;被迷住的	(adj) 慈善的;寬容的
bulky	(adj) 體積大的;笨重的	(adj) 被俘的;被迷住的	(adj) 慈善的;寬容的	(adj) (病)慢性的;(人)久病的;長期的
captive	(adj) 被俘的;被迷住的	(adj) 慈善的;寬容的	(adj) (病)慢性的;(人)久病的;長期的	(adj) 臨床的;診所的
charitable	(adj) 慈善的;寬容的	(adj) (病)慢性的;(人)久病的;長期的	(adj) 臨床的;診所的	(adj) 一致的;條理清楚的;連貫的
