tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
able	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的	(adj) 害怕
above	(adj) 上文的,前述的	(adj) 成年的	(adj) 害怕	(adj) 所有的;全部
adult	(adj) 成年的	(adj) 害怕	(adj) 所有的;全部	(adj) 單獨的;孤單的
afraid	(adj) 害怕	(adj) 所有的;全部	(adj) 單獨的;孤單的	(adj) 生氣的
all	(adj) 所有的;全部	(adj) 單獨的;孤單的	(adj) 生氣的	(adj) 另一個
alone	(adj) 單獨的;孤單的	(adj) 生氣的	(adj) 另一個	(adj) 任何的
angry	(adj) 生氣的	(adj) 另一個	(adj) 任何的	(adj) 後面的;拖欠的;過去的
another	(adj) 另一個	(adj) 任何的	(adj) 後面的;拖欠的;過去的	(adj) 壞的
any	(adj) 任何的	(adj) 後面的;拖欠的;過去的	(adj) 壞的	(adj) 基本的
back	(adj) 後面的;拖欠的;過去的	(adj) 壞的	(adj) 基本的	(adj) 漂亮的
bad	(adj) 壞的	(adj) 基本的	(adj) 漂亮的	(adj) 最好的;最熟練的;最適當的
basic	(adj) 基本的	(adj) 漂亮的	(adj) 最好的;最熟練的;最適當的	(adj) 較佳的;更好的;更適當的
beautiful	(adj) 漂亮的	(adj) 最好的;最熟練的;最適當的	(adj) 較佳的;更好的;更適當的	(adj) 大的
best	(adj) 最好的;最熟練的;最適當的	(adj) 較佳的;更好的;更適當的	(adj) 大的	(adj) 出生的;誕生的
better	(adj) 較佳的;更好的;更適當的	(adj) 大的	(adj) 出生的;誕生的	(adj) 兩者
big	(adj) 大的	(adj) 出生的;誕生的	(adj) 兩者	(adj) 最低的;最後的,最下的
born	(adj) 出生的;誕生的	(adj) 兩者	(adj) 最低的;最後的,最下的	(adj) 勇敢的
both	(adj) 兩者	(adj) 最低的;最後的,最下的	(adj) 勇敢的	(adj) 光亮的
bottom	(adj) 最低的;最後的,最下的	(adj) 勇敢的	(adj) 光亮的	(adj) 忙碌的
brave	(adj) 勇敢的	(adj) 光亮的	(adj) 忙碌的	(adj) 小心的
bright	(adj) 光亮的	(adj) 忙碌的	(adj) 小心的	(adj) 肯定的
