1,腦筋急轉彎,https://www.youtube.com/watch?v=fUhHfTMhfzU
2,泰山,https://www.youtube.com/watch?v=IlDjEd8gAkI
3,OneDirection,https://www.youtube.com/watch?v=QJO3ROT-A4E
4,HotNCode,https://www.youtube.com/watch?v=kTHNpusq654
5,Chipi,https://www.youtube.com/watch?v=6R-zqpEBToM
6,BestFriend,https://www.youtube.com/watch?v=BddgVkX_e70
7,onTheFloor,https://www.youtube.com/watch?v=t4H_Zoh7G5A
8,SuicideSquad,https://www.youtube.com/watch?v=d4eAzTP2Knw
9,BarBarBar,https://www.youtube.com/watch?v=yMqL1iWfku4
10,DragosteaDieTei,https://www.youtube.com/watch?v=YnopHCL1Jk8


