[감사]	感謝
마음이 [고맙다]	心存「感謝」
[간단한] 설명	「簡單的」說明
[간단히] 끝내다	「簡單地」結束
[단순] 노동	「簡單的」勞動
생각이 [복잡하다]	思緒「混亂」
문제가 [쉽다]	問題「很簡單」
문제가 [어렵다] 	問題「很難」
혀가 [굳어] 말이 잘 나오지 않는다.	舌頭變「硬」，說不出話
머릿결이 [부드럽다]	「柔軟的」髮絲
[걱정]이 되다	擔心
[고민]을 나누다	訴說「苦悶」
[괴로워하다]	痛楚
소식이 [궁금하다]	對這消息有「興趣」
강아지를 [귀여워하다]	「疼愛」小狗
일이 많아서 정말 [귀찮다]	事情多「真煩」
가족이 [그립다]	「思念」家人
[기분]이 좋다	「感覺」很好（氣分）
졸업을 [기뻐하다]	「欣喜」畢業
마음이 [기쁘다]	滿心「歡喜」
[기쁨]을 나누다	分享「喜悅」
[긴장]을 풀다	消解「緊張」
[깜짝] 놀라다	驚喜
깜짝 [놀라다]	驚訝
추위를 [느끼다]	「感覺」冷
[느낌]이 좋다	「感覺」很好
기력이 [다하다]	精力「耗盡」
가슴이 [답답하다]	胸口「鬱悶」
귀신이 [무섭다]	鬼「很可怕」
손님이 [반갑다]	「歡迎」客人
[부끄럽게] 웃다	「害羞地」笑
다른 사람이  [부럽다]	「羨慕」別人
어색한 [분위기]	尷尬的「氣氛」
표정이 [불쌍하다]	表情「很可憐」
[불편]이 따르다	帶來「不便」
[섭섭하다]:서운하다	感到失望
[수고]를 하다	辛苦了
[스트레스]를 풀다	消解「壓力」
이별을 [슬퍼하다]	對於離別「感到悲傷」
마음이 [슬프다]	心情「悲傷」
[슬픔]에 잠기다	沈浸於「悲傷」
일이 [싫다]	工作「很煩人」
몹시  [싫어하다]	很「討厭」
지루하고 [심심하다]	無聊的
[안전]을 지키다	保持「安全」
삶이 [외롭다]	生活「孤單」
[울음]을 그치다	停止「哭泣」
[웃음]이 나다	笑
[재미]가 있다	有「趣」
[정신없이] 일하다	「無精打采的」工作
운전 [조심]	開車「小心」
날씨가 [좋다]	天氣「很好」
꽃을 [좋아하다]	「喜歡」花
마음이 [죄송하다]	心裡「感到抱歉」
매우 [즐거워하다]	很「開心」
마음이 [즐겁다]	心裡「開心」
휴가를 [즐기다] 	休假「愉快」
수업이 [지루하다]	作業「很無聊」
[짜증]을 내다	覺得「煩」
친구와 [친하다]	和朋友「闗係親密」
[편안]을 바라다	祈求「平安」
[피곤]에 지치다	疲勞
마음이 [한가하다]	心很「空閒」
[행복]을 빌다	祈祝「幸福」
[화]가 나다	憤怒
친구가 [화나다]	朋友「生氣」
친구에게 [화내다]	朋友「生氣」
일이 [힘들다]	工作「很吃力」
[감동]을 받다	受「感動」
[감동적] 이야기	「動人的」故事
[감정]이 풍부하다	「感情」豐富
부모님에게 [고마워하다]	「謝謝」父母
사용이 [간편하다]	使用「簡便」
[곤란]을 당하다	遭遇「困難」
[단순히] 생각하다	「單純地」想
[손쉽게] 끝내다	「輕而易舉」結束
[어려움]을 겪다	經歷「苦難」
살결이 [거칠다]	皮膚「粗糙」
바늘이 [날카롭다]	針「鋒利」
뼈가 [단단하다]	骨頭「硬」
의자가 [딱딱하다]	位子很「硬」
길이 [미끄럽다]	道路「滑」
[간신히] 살아나다	「艱辛地」活著
자식이 [걱정스럽다]	兒女「很擔心」
[겁]을 먹다	害怕
말하기가 [겁나다]	「害怕」說
[고독]을 느끼다	感覺「孤獨」
[고생]을 참다	忍住「艱辛」
[고통]을 견디다	忍住「苦痛」
[고통스럽운] 표정	「痛苦的」表情
[공감]을 얻다	獲得「同情」
[괴로움]을 당하다	飽受「折磨」
마음이 [괴롭다]	心「痛」
동생을 [괴롭히다]	「折磨」弟弟
[그리움]을 느끼다	感覺「渴望」
[근심]이 많다	非常「擔心」
입장이 [난처하다]	立場「尷尬」
위력이 [놀랍다]	威力「驚人」
마음이 [놓이다]	放心
[다정]을 보이다	表現出「多情」
[다행]으로 생각하다	感到「慶幸」
[다행스럽다] 생각하다	感到「慶幸」
[다행히] 찾다	「幸虧」找到
[당황]을 하다	驚慌失措
[두려움]을 극복하다	克服「恐懼」
미래를 [두려워하다]	「畏懼」未來
후환이 [두렵다]	「害怕」後患
무서움에 [떨다]	怕得「顫抖」
온몸이 [떨리다]	渾身「發抖」
[뜻대로] 되다	「順心」完成
[마음속] 으로 다짐하다	「暗自」下決心
결과가 [만족스럽다]	結果「滿意」
[맘]이 좋다	「心腸」好
잠시 [망설이다]	「遲疑」片刻
[멋대로]  살다	「隨心所欲地」生活
사람을 [무서워하다]	「害怕」人們
[미소]를 짓다	露出「微笑」
정신이 [미치다]	精神「瘋」
태도가 [밉다]	態度「討厭」
[바싹] 마르다	「乾」渴
첫눈에 [반하다]	一見鍾情
[뱃속]을 모르다	不明白「內心」
[본능]에 따르다	聽從「直覺」
[부끄러움]을 타다	受「恥辱」
아이가 [부끄러워하다]	小孩「怕羞」
[부담]을 하다	負擔
호의가 [부담스럽다]	好心有「負擔」
성공을 [부러워하다]	「嫉妒」成功
[분노]가 폭발하다	「怒火」爆發
[불행]을 느끼다	感到「不幸」
[사기]를 치다	行「騙」
마음이 [서럽다]	傷心
마음이 [서운하다]	傷心
[선호] 직업	「偏愛」職業
[소중히] 여기다	「珍」惜
[속마음]을 털어 놓다	吐露「心聲」
마음이 [속상하다]	「傷」心
업무에 [시달리다]	被工作「折磨」
나들이에  [신나다]	出遊「興奮」
[싫증]이 나다	出現「疲勞」
[심정]이 답답하다	「心」煩
표정이 [쑥스럽다]	表情「害羞」
마음이 [쓸쓸하다]	心情「寂寞」
돈이 [아깝다]	「捨不得」錢
[아쉬움]이 남다	留下「遺憾」
작별이 [아쉽다]	「捨不得」道別
[안색]이 나쁘다	「臉色」不好
[안심]이 되다	可以「安心」
죽음을 [안타까워하다]	「痛惜」死亡
마음이 [안타깝다]	心裡「遺憾」
[애정]을 가지다	有「感情」
선배를 [어려워하다]	「畏懼」前輩
