[가난]에서 벗어나다	擺脫「窮困」
[가난]에서 벗어나다	擺脫「窮困」
[거지]가 되다	變成「乞丐」
상류 [계층]	上流「階層」
[고급] 시계	「高級」手錶
[저급] 문화	「低級」文化
복권 [당첨]	彩卷「中獎」
돼지[띠]	「屬」豬
[복]을 받다	納「福」
[운]이 좋다	「運氣」好
[운명]을 받아들이다	接受「命運」
[행운]이 오다	「幸運」來臨
[체면]이 깎이다	丟「面子」
[경력]을 쌓다	累積「經歷」
[권위]를 세우다	樹立「權威」
신분이 [귀하다]	身份「高貴」
얼굴이 [낯설다]	臉孔「陌生」
[단점]을 극복하다	克服「缺點」
태도가 [당당하다]	態度「坦蕩」
[덕]이 높다	「德」高望重
부모님 [덕택]	父母「恩惠」
냄새가 [독하다]	味道「烈」
이마가 [두드러지다]	額頭「突出」
사람이 [드물다]	人煙「稀少」
솜씨가 [뛰어나다]	手藝「傑出」
눈에 [띄다]	很「顯」眼
[매력]을 느끼다	感到「吸引力」
성격이 [못되다]	脾氣「壞」
전문가 [못지 않다]	「不亞於」專家
자세가 [바람직하다]	態度「可取」
[바보]가 되다	變成「傻子」
[배경]이 좋다	「背景」好
[본질]을 파악하다	掌握「本質」
으리으리한 [부잣집]	金碧輝煌的「有錢人的房子」
아이가 [사랑스럽다]	孩子「很可愛」
문제가 [사소하다]	問題「瑣碎」
[상상력]이 풍부하다	「想像力」豐富
영어가 [서투르다]	英語「生疏」
영어가 [서툴다]	英語「生疏」
아무 [소용없다]	非常「沒用」
[솜씨]가 좋다	「手藝」好
[시력]이 좋다	「視力」好
마술이 [신기하다]	魔術「神奇」
[신세]를 망치다	斷送「前程」
[신용]을 잃다	「信用」喪失
[실력]이 뛰어나다	「實力」出眾
문제가 [심각하다]	問題「嚴重」
물건이 [쓸데없다]	東西「沒用」
[약점]을 잡다	㧓住「弱點」
생각이 [어리석다]	思想「愚蠢」
사이가 [어색하다]	關係「很尷尬」
생각이 [올바르다]	思想「正確」
[우수] 학생	「優秀」學生
표정이 [우습다]	表情「可笑」
분위기가 [우아하다]	氣氛「優雅」
업적이 [위대하다]	業績「偉大」
[유능]:무능	「有能」：無能
[은혜]를 갚다	報「恩」
청각적 [이미지]	聽覺「印象」
[이해력]이 부족하다	「理解力」不足
[인간성]이 좋다	「人性」本善
[인심]이 변하다	「人心」在變
외모가 [잘나다]	長得「很好」
[장단점]을 파악하다	掌握「優缺點」
[장점]이 많다	「優點」多
예술적 [재능]	藝術的「才能」
[재산]을 모으다	聚集「財產」
[재주]가 많다	「技能」多
[적성]에 맞다	合乎「資質」
[주목]을 끌다	引起「注目」
[지위]가 높다	「地位」高
[지혜]를 모으다	聚集「智慧」
생각이 [지혜롭다]	思路「聰慧」
남녀 [차별]	男女「差別」
[천재] 시인	「天才」詩人
[체력]을 단련하다	鍛練「體力」
옷차림이 [촌스럽다]	衣著「土裡土氣」
취미와 [특기]	興趣和「專長」
[평]이 좋다	「評價」好
외모가 [평범하다]	外貌「普通」
건강에 [해롭다]	對健康「有害」
경제 [협력]	經濟「合作」
[협조]를 요청하다	商請「協助」
[효도]를 하다	盡「孝道」
이름이 [흔하다]	名字「常見」
이야기가 [흥미롭다]	故事「有趣」
[눈길]이 가다	吸引「目光」
[잘사는] 나라	「富裕的」國家
