assert	斷言;堅持	估價	假設;擔任	氣喘(病);哮喘
assess	估價	假設;擔任	氣喘(病);哮喘	收容院;避難所;政治庇護
assumption	假設;擔任	氣喘(病);哮喘	收容院;避難所;政治庇護	達到;獲得
asthma	氣喘(病);哮喘	收容院;避難所;政治庇護	達到;獲得	出席的;伴隨的;侍候的
asylum	收容院;避難所;政治庇護	達到;獲得	出席的;伴隨的;侍候的	頂樓;閣樓
attain	達到;獲得	出席的;伴隨的;侍候的	頂樓;閣樓	拍賣
attendant	出席的;伴隨的;侍候的	頂樓;閣樓	拍賣	可信的;真實的
attic	頂樓;閣樓	拍賣	可信的;真實的	授權給;批准
auction	拍賣	可信的;真實的	授權給;批准	親筆簽名於
authentic	可信的;真實的	授權給;批准	親筆簽名於	自治
authorize	授權給;批准	親筆簽名於	自治	航空;飛行
autograph/signature	親筆簽名於	自治	航空;飛行	令人敬畏的;非凡的
autonomy	自治	航空;飛行	令人敬畏的;非凡的	晴雨表;顯示變化的事物
aviation	航空;飛行	令人敬畏的;非凡的	晴雨表;顯示變化的事物	點頭示意
awesome	令人敬畏的;非凡的	晴雨表;顯示變化的事物	點頭示意	圍攻;圍困;煩擾
barometer	晴雨表;顯示變化的事物	點頭示意	圍攻;圍困;煩擾	背叛;出賣
beckon	點頭示意	圍攻;圍困;煩擾	背叛;出賣	飲料
besiege	圍攻;圍困;煩擾	背叛;出賣	飲料	使存偏見
betray	背叛;出賣	飲料	使存偏見	雙筒望遠鏡
beverage	飲料	使存偏見	雙筒望遠鏡	生物化學
bias	使存偏見	雙筒望遠鏡	生物化學	生物的;生物學的
binoculars	雙筒望遠鏡	生物化學	生物的;生物學的	異乎尋常的
biochemistry	生物化學	生物的;生物學的	異乎尋常的	荒涼的
biological	生物的;生物學的	異乎尋常的	荒涼的	犯大錯;出漏子
bizarre	異乎尋常的	荒涼的	犯大錯;出漏子	鈍的
bleak	荒涼的	犯大錯;出漏子	鈍的	砲擊
blunder	犯大錯;出漏子	鈍的	砲擊	奴隸身分
blunt	鈍的	砲擊	奴隸身分	舉;抬;推動;促進
bombard	砲擊	奴隸身分	舉;抬;推動;促進	比賽
bondage	奴隸身分	舉;抬;推動;促進	比賽	聯合抵制
boost	舉;抬;推動;促進	比賽	聯合抵制	故障;損壞;崩潰;分析
bout	比賽	聯合抵制	故障;損壞;崩潰;分析	突圍;突破;突破性進展
boycott	聯合抵制	故障;損壞;崩潰;分析	突圍;突破;突破性進展	分裂;關係破裂;解體
breakdown	故障;損壞;崩潰;分析	突圍;突破;突破性進展	分裂;關係破裂;解體	泡
breakthrough	突圍;突破;突破性進展	分裂;關係破裂;解體	泡	邊緣
breakup	分裂;關係破裂;解體	泡	邊緣	輕快的;興旺的;寒冷而清新的
brew	泡	邊緣	輕快的;興旺的;寒冷而清新的	小冊子
brink	邊緣	輕快的;興旺的;寒冷而清新的	小冊子	畜生的;畜生般的;殘忍的
brisk	輕快的;興旺的;寒冷而清新的	小冊子	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步
brochure	小冊子	畜生的;畜生般的;殘忍的	扣住;垮掉;讓步	體積大的;笨重的
