seduce	誘惑;引誘	有選擇性的	專題討論(課或會議)	參議員
selective	有選擇性的	專題討論(課或會議)	參議員	情深的;情感;多愁善感的
seminar	專題討論(課或會議)	參議員	情深的;情感;多愁善感的	排序
senator	參議員	情深的;情感;多愁善感的	排序	安詳的;寧靜的
sentimental	情深的;情感;多愁善感的	排序	安詳的;寧靜的	晴朗;平靜;沈著
sequence	排序	安詳的;寧靜的	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份
serene	安詳的;寧靜的	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會
serenity	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會	挫折;倒退
serving	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會	挫折;倒退	下水道
session	開庭;會期;講習會	挫折;倒退	下水道	流出;毛髮等脫落;蛻(殼等)
setback	挫折;倒退	下水道	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的
sewer	下水道	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的	先令
shed	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的	先令	順手牽羊
sheer	全然的;(紡織物)極薄的;陡峭的	先令	順手牽羊	精明的;狡猾的;機靈的
shilling	先令	順手牽羊	精明的;狡猾的;機靈的	躲開;迴避
shoplift	順手牽羊	精明的;狡猾的;機靈的	躲開;迴避	圍攻;包圍;圍城
shrewd	精明的;狡猾的;機靈的	躲開;迴避	圍攻;包圍;圍城	表示...的意思;意味著
shun	躲開;迴避	圍攻;包圍;圍城	表示...的意思;意味著	矽
siege	圍攻;包圍;圍城	表示...的意思;意味著	矽	簡單;單純
signify	表示...的意思;意味著	矽	簡單;單純	簡化,精簡;使單純;使平易
silicon	矽	簡單;單純	簡化,精簡;使單純;使平易	同時發生的
simplicity	簡單;單純	簡化,精簡;使單純;使平易	同時發生的	懷疑的
simplify	簡化,精簡;使單純;使平易	同時發生的	懷疑的	去,去除;瀏覽,略讀
simultaneous	同時發生的	懷疑的	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取
skeptical	懷疑的	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減
skim	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役
slang	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役	開狹長的孔;把...納入序列中
slash	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役	開狹長的孔;把...納入序列中	去貧民窟
slavery	奴隸身分;奴役	開狹長的孔;把...納入序列中	去貧民窟	略有滋味;掌摑;咂(嘴);響吻
slot	開狹長的孔;把...納入序列中	去貧民窟	略有滋味;掌摑;咂(嘴);響吻	天花
slum	去貧民窟	略有滋味;掌摑;咂(嘴);響吻	天花	使窒息
smack	略有滋味;掌摑;咂(嘴);響吻	天花	使窒息	走私
smallpox	天花	使窒息	走私	(用陷阱等)捕捉;誘...入圈套
smother	使窒息	走私	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的
smuggle	走私	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的	輕蔑地笑;譏諷
snare	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲
sneaky	鬼鬼祟祟的	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲	好交際的;善交際的
sneer	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲	好交際的;善交際的	社會主義
soar	往上飛舞;翱翔;暴漲	好交際的;善交際的	社會主義	社會主義者
sociable	好交際的;善交際的	社會主義	社會主義者	交際;社會主義化
