electron	電子	有資格當選的;合格的	精英的	雄辯;(流利的)口才
eligible	有資格當選的;合格的	精英的	雄辯;(流利的)口才	雄辯的;口才流利的
elite	精英的	雄辯;(流利的)口才	雄辯的;口才流利的	搭乘
eloquence	雄辯;(流利的)口才	雄辯的;口才流利的	搭乘	(往他國的)移民;移出者
eloquent	雄辯的;口才流利的	搭乘	(往他國的)移民;移出者	移居外國(或外地)
embark	搭乘	(往他國的)移民;移出者	移居外國(或外地)	移居;(總稱)移民
emigrant	(往他國的)移民;移出者	移居外國(或外地)	移居;(總稱)移民	情緒智商
emigrate	移居外國(或外地)	移居;(總稱)移民	情緒智商	強調的;著重的
emigration	移居;(總稱)移民	情緒智商	強調的;著重的	制定(法律);扮演(角色)
emotionalintelligence	情緒智商	強調的;著重的	制定(法律);扮演(角色)	封入;圈地;圍牆;附件
emphatic	強調的;著重的	制定(法律);扮演(角色)	封入;圈地;圍牆;附件	百科全書
enact	制定(法律);扮演(角色)	封入;圈地;圍牆;附件	百科全書	忍耐,耐久力
enclosure	封入;圈地;圍牆;附件	百科全書	忍耐,耐久力	提高,增加
encyclopedia	百科全書	忍耐,耐久力	提高,增加	啟發;啟迪
endurance	忍耐,耐久力	提高,增加	啟發;啟迪	使富裕
enhance	提高,增加	啟發;啟迪	使富裕	流行性的;傳染的;極為流行的
enlighten	啟發;啟迪	使富裕	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集
enrich	使富裕	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集	情商
epidemic	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集	情商	方程式;等式;相等
episode	一個事件;一節;一齣;一集	情商	方程式;等式;相等	相等的,相同的
EQ/emotionalquotient/	情商	方程式;等式;相等	相等的,相同的	腐蝕;侵蝕;磨損
equation	方程式;等式;相等	相等的,相同的	腐蝕;侵蝕;磨損	爆發;噴出
equivalent	相等的,相同的	腐蝕;侵蝕;磨損	爆發;噴出	逐步上升
erode	腐蝕;侵蝕;磨損	爆發;噴出	逐步上升	本質;要素;精華;精油
eruption	爆發;噴出	逐步上升	本質;要素;精華;精油	永遠;永恆;永世
escalate	逐步上升	本質;要素;精華;精油	永遠;永恆;永世	倫理的;道德的
essence	本質;要素;精華;精油	永遠;永恆;永世	倫理的;道德的	種族的;人種學的
eternity	永遠;永恆;永世	倫理的;道德的	種族的;人種學的	撤離;避難;疏散
ethical	倫理的;道德的	種族的;人種學的	撤離;避難;疏散	發展,進展
ethnic	種族的;人種學的	撤離;避難;疏散	發展,進展	使逐步形成;發展
evacuate	撤離;避難;疏散	發展,進展	使逐步形成;發展	摘錄;引用
evolution	發展,進展	使逐步形成;發展	摘錄;引用	過度的;極度的
evolve	使逐步形成;發展	摘錄;引用	過度的;極度的	排外
excerpt	摘錄;引用	過度的;極度的	排外	實行;執行;死刑
excessive	過度的;極度的	排外	實行;執行;死刑	用(力);施加
exclusive	排外	實行;執行;死刑	用(力);施加	異國情調的;外來的
execution	實行;執行;死刑	用(力);施加	異國情調的;外來的	遠征(隊);探險(隊)
exert	用(力);施加	異國情調的;外來的	遠征(隊);探險(隊)	驅逐;排出;開除
exotic	異國情調的;外來的	遠征(隊);探險(隊)	驅逐;排出;開除	專門知識;專門技術
expedition	遠征(隊);探險(隊)	驅逐;排出;開除	專門知識;專門技術	失效;期滿;吐氣
