prejudice	使抱偏見;使懷成見	預備的;初步的	過早的;草率的;早產的	首位的;最早的
preliminary	預備的;初步的	過早的;草率的;早產的	首位的;最早的	規定;指定;開(藥方)
premature	過早的;草率的;早產的	首位的;最早的	規定;指定;開(藥方)	處方
premier	首位的;最早的	規定;指定;開(藥方)	處方	主持;管轄
prescribe	規定;指定;開(藥方)	處方	主持;管轄	公司總裁(大學校長等)的職位
prescription	處方	主持;管轄	公司總裁(大學校長等)的職位	總統的;總統選舉的
preside	主持;管轄	公司總裁(大學校長等)的職位	總統的;總統選舉的	名望;聲望
presidency	公司總裁(大學校長等)的職位	總統的;總統選舉的	名望;聲望	假定;認為;擅自(做)
presidential	總統的;總統選舉的	名望;聲望	假定;認為;擅自(做)	預防的;防病的
prestige	名望;聲望	假定;認為;擅自(做)	預防的;防病的	生產力;生產率
presume	假定;認為;擅自(做)	預防的;防病的	生產力;生產率	精通;熟練
preventive	預防的;防病的	生產力;生產率	精通;熟練	深刻的
productivity	生產力;生產率	精通;熟練	深刻的	逐漸的
proficiency	精通;熟練	深刻的	逐漸的	禁止
profound	深刻的	逐漸的	禁止	禁止
progressive	逐漸的	禁止	禁止	規劃;投影;投射;預測
prohibit	禁止	禁止	規劃;投影;投射;預測	有...傾向的;俯伏的
prohibition	禁止	規劃;投影;投射;預測	有...傾向的;俯伏的	宣傳
projection	規劃;投影;投射;預測	有...傾向的;俯伏的	宣傳	推進;推動;驅策
prone	有...傾向的;俯伏的	宣傳	推進;推動;驅策	螺旋槳;推進器
propaganda	宣傳	推進;推動;驅策	螺旋槳;推進器	散文;平凡
propel	推進;推動;驅策	螺旋槳;推進器	散文;平凡	對...起訴;告發
propeller	螺旋槳;推進器	散文;平凡	對...起訴;告發	起訴;告發
prose	散文;平凡	對...起訴;告發	起訴;告發	預期的;盼望中的;未來的
prosecute	對...起訴;告發	起訴;告發	預期的;盼望中的;未來的	省的
prosecution	起訴;告發	預期的;盼望中的;未來的	省的	激怒
prospective	預期的;盼望中的;未來的	省的	激怒	(野獸等)四處覓食;徘徊
provincial	省的	激怒	(野獸等)四處覓食;徘徊	準時的
provoke	激怒	(野獸等)四處覓食;徘徊	準時的	淨化
prowl	(野獸等)四處覓食;徘徊	準時的	淨化	純淨
punctual	準時的	淨化	純淨	資格,能力
purify	淨化	純淨	資格,能力	喜歡爭吵的
purity	純淨	資格,能力	喜歡爭吵的	壓制
qualification	資格,能力	喜歡爭吵的	壓制	詢問
quarrelsome	喜歡爭吵的	壓制	詢問	問卷;意見調查表
quench	壓制	詢問	問卷;意見調查表	種族主義;種族歧視
query	詢問	問卷;意見調查表	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的
questionnaire	問卷;意見調查表	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的
racism	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的	放射線
radiant	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的	放射線	散熱器
