radiate	具輻射部的;輻射狀的	放射線	散熱器	基本的;徹底的
radiation	放射線	散熱器	基本的;徹底的	用筏子運送;划筏
radiator	散熱器	基本的;徹底的	用筏子運送;划筏	襲擊;劫掠
radical	基本的;徹底的	用筏子運送;划筏	襲擊;劫掠	胡亂的;隨機的
raft	用筏子運送;划筏	襲擊;劫掠	胡亂的;隨機的	贖回;向...勒索贖金
raid	襲擊;劫掠	胡亂的;隨機的	贖回;向...勒索贖金	皮疹
random	胡亂的;隨機的	贖回;向...勒索贖金	皮疹	理性的;明事理的;合理的
ransom	贖回;向...勒索贖金	皮疹	理性的;明事理的;合理的	蹂躪;使荒蕪
rash	皮疹	理性的;明事理的;合理的	蹂躪;使荒蕪	現實性;現實主義
rational	理性的;明事理的;合理的	蹂躪;使荒蕪	現實性;現實主義	領悟;體現
ravage	蹂躪;使荒蕪	現實性;現實主義	領悟;體現	反叛;反抗
realism	現實性;現實主義	領悟;體現	反叛;反抗	衰退
realization	領悟;體現	反叛;反抗	衰退	接受的;受領的
rebellion	反叛;反抗	衰退	接受的;受領的	推薦;推薦信
recession	衰退	接受的;受領的	推薦;推薦信	和解;使一致;使安於
recipient	接受的;受領的	推薦;推薦信	和解;使一致;使安於	消遣的;娛樂的;休養的
recommendation	推薦;推薦信	和解;使一致;使安於	消遣的;娛樂的;休養的	徵募;雇用;補充
reconcile	和解;使一致;使安於	消遣的;娛樂的;休養的	徵募;雇用;補充	再發生;再現
recreational	消遣的;娛樂的;休養的	徵募;雇用;補充	再發生;再現	多餘的;過剩的
recruit	徵募;雇用;補充	再發生;再現	多餘的;過剩的	提煉;精鍊
recur	再發生;再現	多餘的;過剩的	提煉;精鍊	反射的;沈思的;反映的
redundant	多餘的;過剩的	提煉;精鍊	反射的;沈思的;反映的	茶點
refine	提煉;精鍊	反射的;沈思的;反映的	茶點	退還;歸還;償還
reflective	反射的;沈思的;反映的	茶點	退還;歸還;償還	不注意的,不留心的;不關心的
refreshment	茶點	退還;歸還;償還	不注意的,不留心的;不關心的	政體;政權
refund	退還;歸還;償還	不注意的,不留心的;不關心的	政體;政權	排練,試演;練習
regardless	不注意的,不留心的;不關心的	政體;政權	排練,試演;練習	排練,排演
regime	政體;政權	排練,試演;練習	排練,排演	(用韁繩)勒住;駕馭;控制
rehearsal	排練,試演;練習	排練,排演	(用韁繩)勒住;駕馭;控制	增援;加強;加深
rehearse	排練,排演	(用韁繩)勒住;駕馭;控制	增援;加強;加深	轉播
rein	(用韁繩)勒住;駕馭;控制	增援;加強;加深	轉播	有關的;切題的
reinforce	增援;加強;加深	轉播	有關的;切題的	信任;依賴
relay	轉播	有關的;切題的	信任;依賴	喜愛;愛好;加佐料
relevant	有關的;切題的	信任;依賴	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數
reliance	信任;依賴	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數	除去;免職
relish	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數	除去;免職	文藝復興
remainder	剩餘物;其餘的人;餘數	除去;免職	文藝復興	使得;使成為;提供
removal	除去;免職	文藝復興	使得;使成為;提供	有名的;有聲譽的
renaissance	文藝復興	使得;使成為;提供	有名的;有聲譽的	租金;租賃;出租
render	使得;使成為;提供	有名的;有聲譽的	租金;租賃;出租	抑制;鎮壓
