installation	設施;安裝	安置	機構	完整無缺的;原封不動的
installment	安置	機構	完整無缺的;原封不動的	使結合;求積分
institution	機構	完整無缺的;原封不動的	使結合;求積分	整合;積分
intact	完整無缺的;原封不動的	使結合;求積分	整合;積分	正直;廉正;健全
integrate	使結合;求積分	整合;積分	正直;廉正;健全	智力;理解力;有才智的人
integration	整合;積分	正直;廉正;健全	智力;理解力;有才智的人	交叉點;十字路口
integrity	正直;廉正;健全	智力;理解力;有才智的人	交叉點;十字路口	間隔
intellect	智力;理解力;有才智的人	交叉點;十字路口	間隔	介入;干預;調停
intersection	交叉點;十字路口	間隔	介入;干預;調停	介入;干預;調停
interval	間隔	介入;干預;調停	介入;干預;調停	熟悉;親密;親近
intervene	介入;干預;調停	介入;干預;調停	熟悉;親密;親近	威嚇;脅迫
intervention	介入;干預;調停	熟悉;親密;親近	威嚇;脅迫	侵入;闖入
intimacy	熟悉;親密;親近	威嚇;脅迫	侵入;闖入	侵入者;闖入者
intimidate	威嚇;脅迫	侵入;闖入	侵入者;闖入者	非常貴重的;無價的
intrude	侵入;闖入	侵入者;闖入者	非常貴重的;無價的	存貨
intruder	侵入者;闖入者	非常貴重的;無價的	存貨	調查者;研究者
invaluable	非常貴重的;無價的	存貨	調查者;研究者	智商
inventory	存貨	調查者;研究者	智商	具有諷刺意味的;挖苦的
investigator	調查者;研究者	智商	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果
IQ/intelligencequotient	智商	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果	易怒的;急躁的
ironic	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果	易怒的;急躁的	使惱怒;使煩躁
irony	反語;諷刺;出乎意料的結果	易怒的;急躁的	使惱怒;使煩躁	激怒;惱怒
irritable	易怒的;急躁的	使惱怒;使煩躁	激怒;惱怒	快樂的;高興的
irritate	使惱怒;使煩躁	激怒;惱怒	快樂的;高興的	(果核或果殼內的)仁;核心,要點
irritation	激怒;惱怒	快樂的;高興的	(果核或果殼內的)仁;核心,要點	綁架;劫持
joyous	快樂的;高興的	(果核或果殼內的)仁;核心,要點	綁架;劫持	哀悼;悲痛;痛哭
kernel	(果核或果殼內的)仁;核心,要點	綁架;劫持	哀悼;悲痛;痛哭	熔岩;火山岩
kidnap	綁架;劫持	哀悼;悲痛;痛哭	熔岩;火山岩	(未受神職的)一般信徒;外行人
lament	哀悼;悲痛;痛哭	熔岩;火山岩	(未受神職的)一般信徒;外行人	設計;佈局;版面設計
lava	熔岩;火山岩	(未受神職的)一般信徒;外行人	設計;佈局;版面設計	液晶顯示器
layman	(未受神職的)一般信徒;外行人	設計;佈局;版面設計	液晶顯示器	傳說的;傳奇的
layout	設計;佈局;版面設計	液晶顯示器	傳說的;傳奇的	立法的;有立法權的
LCD/liquidcrystaldisplay	液晶顯示器	傳說的;傳奇的	立法的;有立法權的	立法委員;國會議員
legendary	傳說的;傳奇的	立法的;有立法權的	立法委員;國會議員	立法機關;(美國的)州議會
legislative	立法的;有立法權的	立法委員;國會議員	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的
legislator	立法委員;國會議員	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的
legislature	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的
legitimate	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的	解放
lengthy	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的	解放	解放
liable	易...的;可能的;負有法律責任的	解放	解放	同樣地;也;又
