tactic	戰術;策略;手法	關稅;稅率	冗長乏味的;使人厭煩的	氣質;性情
tariff	關稅;稅率	冗長乏味的;使人厭煩的	氣質;性情	暴風雨;暴風雪;騷動
tedious	冗長乏味的;使人厭煩的	氣質;性情	暴風雨;暴風雪;騷動	使結束;使終止;解雇
temperament	氣質;性情	暴風雨;暴風雪;騷動	使結束;使終止;解雇	紡織的
tempest	暴風雨;暴風雪;騷動	使結束;使終止;解雇	紡織的	使...行成紋理
terminate	使結束;使終止;解雇	紡織的	使...行成紋理	劇場的;戲劇的;戲劇性的
textile	紡織的	使...行成紋理	劇場的;戲劇的;戲劇性的	偷竊,盜竊
texture	使...行成紋理	劇場的;戲劇的;戲劇性的	偷竊,盜竊	理論的;非應用的;假設的
theatrical	劇場的;戲劇的;戲劇性的	偷竊,盜竊	理論的;非應用的;假設的	治療技師或專家
theft	偷竊,盜竊	理論的;非應用的;假設的	治療技師或專家	治療,療法
theoretical	理論的;非應用的;假設的	治療技師或專家	治療,療法	之後;以後
therapist	治療技師或專家	治療,療法	之後;以後	因此;由此
therapy	治療,療法	之後;以後	因此;由此	溫度計
thereafter	之後;以後	因此;由此	溫度計	門檻;開端;起點
thereby	因此;由此	溫度計	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行
thermometer	溫度計	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的
threshold	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的	興旺;繁榮;茂盛生長
thrift	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛
thrifty	節儉的;茂盛的	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費
thrive	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費	使倒塌;推翻
throb	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費	使倒塌;推翻	龍捲風
toll	（道路、橋梁等的）通行費	使倒塌;推翻	龍捲風	特徵;特點;特性;少許
topple	使倒塌;推翻	龍捲風	特徵;特點;特性;少許	平靜的;安靜的;安寧的
tornado	龍捲風	特徵;特點;特性;少許	平靜的;安靜的;安寧的	鎮定劑;精神安定劑
trait	特徵;特點;特性;少許	平靜的;安靜的;安寧的	鎮定劑;精神安定劑	辦理;處置;執行;交易
tranquil	平靜的;安靜的;安寧的	鎮定劑;精神安定劑	辦理;處置;執行;交易	抄本;謄本
tranquilizer	鎮定劑;精神安定劑	辦理;處置;執行;交易	抄本;謄本	變化;轉變;變形;變質
transaction	辦理;處置;執行;交易	抄本;謄本	變化;轉變;變形;變質	電晶體
transcript	抄本;謄本	變化;轉變;變形;變質	電晶體	通過;運送過;過境;運輸，運送
transformation	變化;轉變;變形;變質	電晶體	通過;運送過;過境;運輸，運送	過渡;過渡時期;轉變
transistor	電晶體	通過;運送過;過境;運輸，運送	過渡;過渡時期;轉變	傳送;傳染;傳播;變速器;播送
transit	通過;運送過;過境;運輸，運送	過渡;過渡時期;轉變	傳送;傳染;傳播;變速器;播送	傳送;傳達;發射;播送;傳染
transition	過渡;過渡時期;轉變	傳送;傳染;傳播;變速器;播送	傳送;傳達;發射;播送;傳染	移植;移種
transmission	傳送;傳染;傳播;變速器;播送	傳送;傳達;發射;播送;傳染	移植;移種	外傷;傷口;(感情方面的)創傷
transmit	傳送;傳達;發射;播送;傳染	移植;移種	外傷;傷口;(感情方面的)創傷	踩;踏;步行
transplant	移植;移種	外傷;傷口;(感情方面的)創傷	踩;踏;步行	叛國罪;謀反罪;叛國;背叛
trauma	外傷;傷口;(感情方面的)創傷	踩;踏;步行	叛國罪;謀反罪;叛國;背叛	艱苦跋涉或移居
tread	踩;踏;步行	叛國罪;謀反罪;叛國;背叛	艱苦跋涉或移居	震顫;顫抖
treason	叛國罪;謀反罪;叛國;背叛	艱苦跋涉或移居	震顫;顫抖	擅自進入;侵入
trek	艱苦跋涉或移居	震顫;顫抖	擅自進入;侵入	扣扳機開(槍);發射;觸發
