renowned	有名的;有聲譽的	租金;租賃;出租	抑制;鎮壓	相似
rental	租金;租賃;出租	抑制;鎮壓	相似	蓄水庫;貯水池
repress	抑制;鎮壓	相似	蓄水庫;貯水池	居住的;住宅的
resemblance	相似	蓄水庫;貯水池	居住的;住宅的	抵抗的
reservoir	蓄水庫;貯水池	居住的;住宅的	抵抗的	堅決的;不屈不撓的
residential	居住的;住宅的	抵抗的	堅決的;不屈不撓的	分別的;各自的
resistant	抵抗的	堅決的;不屈不撓的	分別的;各自的	復原
resolute	堅決的;不屈不撓的	分別的;各自的	復原	克制;控制;管押
respective	分別的;各自的	復原	克制;控制;管押	零售的
restoration	復原	克制;控制;管押	零售的	報復
restraint	克制;控制;管押	零售的	報復	收回;檢索;使恢復
retail	零售的	報復	收回;檢索;使恢復	揭示;顯示;天啟
retaliate	報復	收回;檢索;使恢復	揭示;顯示;天啟	(國家的)歲入;稅收
retrieve	收回;檢索;使恢復	揭示;顯示;天啟	(國家的)歲入;稅收	甦醒;再生;復興
revelation	揭示;顯示;天啟	(國家的)歲入;稅收	甦醒;再生;復興	修辭;修辭學;辭令
revenue	(國家的)歲入;稅收	甦醒;再生;復興	修辭;修辭學;辭令	有節奏的;有韻律的
revival	甦醒;再生;復興	修辭;修辭學;辭令	有節奏的;有韻律的	嘲笑;戲弄
rhetoric	修辭;修辭學;辭令	有節奏的;有韻律的	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的
rhythmic	有節奏的;有韻律的	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱
ridicule	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱	儀式;慣例
rigorous	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱	儀式;慣例	(宗教)儀式的;典禮的
riot	參加(或發動)暴亂;放縱	儀式;慣例	(宗教)儀式的;典禮的	競爭行為
rite	儀式;慣例	(宗教)儀式的;典禮的	競爭行為	旋轉;輪流
ritual	(宗教)儀式的;典禮的	競爭行為	旋轉;輪流	旋轉;自轉;輪流
rivalry	競爭行為	旋轉;輪流	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅
rotate	旋轉;輪流	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅	紅寶石
rotation	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅	紅寶石	保護;防衛
royalty	(總稱)皇族或王族;王位;專利權稅	紅寶石	保護;防衛	(旅館;輪船等的)大廳;酒館
ruby	紅寶石	保護;防衛	(旅館;輪船等的)大廳;酒館	拯救
safeguard	保護;防衛	(旅館;輪船等的)大廳;酒館	拯救	對...實施制裁
saloon	(旅館;輪船等的)大廳;酒館	拯救	對...實施制裁	聖殿
salvation	拯救	對...實施制裁	聖殿	頭腦清楚的
sanction	對...實施制裁	聖殿	頭腦清楚的	衛生設備
sanctuary	聖殿	頭腦清楚的	衛生設備	風景優美
sane	頭腦清楚的	衛生設備	風景優美	範圍;領域
sanitation	衛生設備	風景優美	範圍;領域	把...改編為劇本
scenic	風景優美	範圍;領域	把...改編為劇本	扇形
scope	範圍;領域	把...改編為劇本	扇形	誘惑;引誘
script	把...改編為劇本	扇形	誘惑;引誘	有選擇性的
sector	扇形	誘惑;引誘	有選擇性的	專題討論(課或會議)
