fragment	使成碎片	易碎的，脆弱的	詭計;騙子;假貨	使瘋狂;使反常
frail	易碎的，脆弱的	詭計;騙子;假貨	使瘋狂;使反常	使苦惱;使煩躁
fraud	詭計;騙子;假貨	使瘋狂;使反常	使苦惱;使煩躁	摩擦;不和;爭執
freak	使瘋狂;使反常	使苦惱;使煩躁	摩擦;不和;爭執	星系
fret	使苦惱;使煩躁	摩擦;不和;爭執	星系	泛論;概括
friction	摩擦;不和;爭執	星系	泛論;概括	產生;發生(熱;電;光等)
galaxy	星系	泛論;概括	產生;發生(熱;電;光等)	發電機;產生器
generalize	泛論;概括	產生;發生(熱;電;光等)	發電機;產生器	基因的;遺傳(學)的
generate	產生;發生(熱;電;光等)	發電機;產生器	基因的;遺傳(學)的	遺傳學
generator	發電機;產生器	基因的;遺傳(學)的	遺傳學	魅力,誘惑力;迷人的美;妖豔
genetic	基因的;遺傳(學)的	遺傳學	魅力,誘惑力;迷人的美;妖豔	玻璃器皿
genetics	遺傳學	魅力,誘惑力;迷人的美;妖豔	玻璃器皿	閃耀;閃亮
glamour	魅力,誘惑力;迷人的美;妖豔	玻璃器皿	閃耀;閃亮	陰暗的;憂鬱的
glassware	玻璃器皿	閃耀;閃亮	陰暗的;憂鬱的	基因改造
glisten	閃耀;閃亮	陰暗的;憂鬱的	基因改造	用圖表表示
gloomy	陰暗的;憂鬱的	基因改造	用圖表表示	生動的;寫實的;圖解的
GMO/geneticallymodified	基因改造	用圖表表示	生動的;寫實的;圖解的	(用烤架)烤
graph	用圖表表示	生動的;寫實的;圖解的	(用烤架)烤	食品雜貨商
graphic	生動的;寫實的;圖解的	(用烤架)烤	食品雜貨商	觸摸
grill	(用烤架)烤	食品雜貨商	觸摸	游擊隊(員)
grocer	食品雜貨商	觸摸	游擊隊(員)	棲地
grope	觸摸	游擊隊(員)	棲地	劈;砍
guerrilla	游擊隊(員)	棲地	劈;砍	駭客
habitat	棲地	劈;砍	駭客	向...歡呼;招呼;下冰雹
hack	劈;砍	駭客	向...歡呼;招呼;下冰雹	騷擾;使煩惱
hacker	駭客	向...歡呼;招呼;下冰雹	騷擾;使煩惱	冒險作出
hail	向...歡呼;招呼;下冰雹	騷擾;使煩惱	冒險作出	(地球的)半球;半球體
harass	騷擾;使煩惱	冒險作出	(地球的)半球;半球體	此後;在來世
hazard	冒險作出	(地球的)半球;半球體	此後;在來世	遺產;繼承物;傳統
hemisphere	(地球的)半球;半球體	此後;在來世	遺產;繼承物;傳統	海洛因
hereafter	此後;在來世	遺產;繼承物;傳統	海洛因	強調
heritage	遺產;繼承物;傳統	海洛因	強調	(學位等)名譽上的;名譽職位的
heroin	海洛因	強調	(學位等)名譽上的;名譽職位的	荷爾蒙
highlight	強調	(學位等)名譽上的;名譽職位的	荷爾蒙	好客的
honorary	(學位等)名譽上的;名譽職位的	荷爾蒙	好客的	好客;殷勤招待
hormone	荷爾蒙	好客的	好客;殷勤招待	住院治療
hospitable	好客的	好客;殷勤招待	住院治療	敵意;敵視;戰爭行動
hospitality	好客;殷勤招待	住院治療	敵意;敵視;戰爭行動	人道主義的;博愛的
hospitalize	住院治療	敵意;敵視;戰爭行動	人道主義的;博愛的	羞辱;使丟臉
hostility	敵意;敵視;戰爭行動	人道主義的;博愛的	羞辱;使丟臉	彎腰
