expel	驅逐;排出;開除	專門知識;專門技術	失效;期滿;吐氣	失效;滿期;吐氣
expertise	專門知識;專門技術	失效;期滿;吐氣	失效;滿期;吐氣	詳盡的;清楚的
expiration	失效;期滿;吐氣	失效;滿期;吐氣	詳盡的;清楚的	開發,開採,開拓
expire	失效;滿期;吐氣	詳盡的;清楚的	開發,開採,開拓	勘查;探測
explicit	詳盡的;清楚的	開發,開採,開拓	勘查;探測	精緻的;精良的;精選的
exploit	開發,開採,開拓	勘查;探測	精緻的;精良的;精選的	取出;抽出;提煉;摘錄
exploration	勘查;探測	精緻的;精良的;精選的	取出;抽出;提煉;摘錄	課外的
exquisite	精緻的;精良的;精選的	取出;抽出;提煉;摘錄	課外的	視力
extract	取出;抽出;提煉;摘錄	課外的	視力	極好的;驚人的
extracurricular	課外的	視力	極好的;驚人的	促進
eyesight	視力	極好的;驚人的	促進	派別;小集團;派系之爭
fabulous	極好的;驚人的	促進	派別;小集團;派系之爭	(學校的)全體教員
facilitate	促進	派別;小集團;派系之爭	(學校的)全體教員	熟悉;通曉
faction	派別;小集團;派系之爭	(學校的)全體教員	熟悉;通曉	饑荒
faculty	(學校的)全體教員	熟悉;通曉	饑荒	迷戀;陶醉
familiarity	熟悉;通曉	饑荒	迷戀;陶醉	可行的;可能的
famine	饑荒	迷戀;陶醉	可行的;可能的	聯邦政府;聯邦制度;聯盟
fascination	迷戀;陶醉	可行的;可能的	聯邦政府;聯邦制度;聯盟	反饋的信息
feasible	可行的;可能的	聯邦政府;聯邦制度;聯盟	反饋的信息	肥沃;繁殖力
federation	聯邦政府;聯邦制度;聯盟	反饋的信息	肥沃;繁殖力	忠誠;忠貞
feedback	反饋的信息	肥沃;繁殖力	忠誠;忠貞	有限的
fertility	肥沃;繁殖力	忠誠;忠貞	有限的	防火的;耐火的
fidelity	忠誠;忠貞	有限的	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮
finite	有限的	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊
fireproof	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現
flare	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現	用力地扔擲
fleet	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現	用力地扔擲	液體
flicker	閃爍;搖曳;忽隱忽現	用力地扔擲	液體	振翼;飄動;(心臟等)不規則跳動
fling	用力地扔擲	液體	振翼;飄動;(心臟等)不規則跳動	預見;預知
fluid	液體	振翼;飄動;(心臟等)不規則跳動	預見;預知	令人畏懼的;難對付的
flutter	振翼;飄動;(心臟等)不規則跳動	預見;預知	令人畏懼的;難對付的	使公式化;規劃;配製
foresee	預見;預知	令人畏懼的;難對付的	使公式化;規劃;配製	拋棄;革除
formidable	令人畏懼的;難對付的	使公式化;規劃;配製	拋棄;革除	即將到來的
formulate	使公式化;規劃;配製	拋棄;革除	即將到來的	築防禦工事於;增強
forsake	拋棄;革除	即將到來的	築防禦工事於;增強	收養的
forthcoming	即將到來的	築防禦工事於;增強	收養的	使斷裂;使折斷;使骨折
fortify	築防禦工事於;增強	收養的	使斷裂;使折斷;使骨折	易碎的;虛弱的
foster	收養的	使斷裂;使折斷;使骨折	易碎的;虛弱的	使成碎片
fracture	使斷裂;使折斷;使骨折	易碎的;虛弱的	使成碎片	易碎的，脆弱的
fragile	易碎的;虛弱的	使成碎片	易碎的，脆弱的	詭計;騙子;假貨
