destined	命中注定的	分開;拆卸;派遣	扣留	嚇住
detach	分開;拆卸;派遣	扣留	嚇住	洗潔劑
detain	扣留	嚇住	洗潔劑	惡化;(價值)下降;退化;墮落
deter	嚇住	洗潔劑	惡化;(價值)下降;退化;墮落	降低價值
detergent	洗潔劑	惡化;(價值)下降;退化;墮落	降低價值	糖尿病
deteriorate	惡化;(價值)下降;退化;墮落	降低價值	糖尿病	診斷
devalue	降低價值	糖尿病	診斷	診斷;診斷書;調查分析
diabetes	糖尿病	診斷	診斷;診斷書;調查分析	用圖解法表示,圖示
diagnose	診斷	診斷;診斷書;調查分析	用圖解法表示,圖示	直徑
diagnosis	診斷;診斷書;調查分析	用圖解法表示,圖示	直徑	口授,口述,
diagram	用圖解法表示,圖示	直徑	口授,口述,	口述;聽寫
diameter	直徑	口授,口述,	口述;聽寫	獨裁者
dictate	口授,口述,	口述;聽寫	獨裁者	構成差別;區分
dictation	口述;聽寫	獨裁者	構成差別;區分	困境
dictator	獨裁者	構成差別;區分	困境	(長;寬;厚;高等的)尺寸;大小
differentiate	構成差別;區分	困境	(長;寬;厚;高等的)尺寸;大小	減少
dilemma	困境	(長;寬;厚;高等的)尺寸;大小	減少	外交;外交手腕
dimension	(長;寬;厚;高等的)尺寸;大小	減少	外交;外交手腕	外交的;有外交手腕的
diminish	減少	外交;外交手腕	外交的;有外交手腕的	通訊錄;使用手冊
diplomacy	外交;外交手腕	外交的;有外交手腕的	通訊錄;使用手冊	無能;殘障
diplomatic	外交的;有外交手腕的	通訊錄;使用手冊	無能;殘障	使失去能力;使傷殘
directory	通訊錄;使用手冊	無能;殘障	使失去能力;使傷殘	不贊成;不同意
disability	無能;殘障	使失去能力;使傷殘	不贊成;不同意	災害的;悲慘的
disable	使失去能力;使傷殘	不贊成;不同意	災害的;悲慘的	卸貨;發射;排出;解雇
disapprove	不贊成;不同意	災害的;悲慘的	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的
disastrous	災害的;悲慘的	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的	使露出;揭發;透露
discharge	卸貨;發射;排出;解雇	訓練的;紀律的;懲戒的	使露出;揭發;透露	透露;揭發的事情
disciplinary	訓練的;紀律的;懲戒的	使露出;揭發;透露	透露;揭發的事情	使不舒服;使不安
disclose	使露出;揭發;透露	透露;揭發的事情	使不舒服;使不安	謹慎的
disclosure	透露;揭發的事情	使不舒服;使不安	謹慎的	歧視;辨別力
discomfort	使不舒服;使不安	謹慎的	歧視;辨別力	使丟臉
discreet	謹慎的	歧視;辨別力	使丟臉	不名譽的;可恥的
discrimination	歧視;辨別力	使丟臉	不名譽的;可恥的	去掉覆蓋物;拆除
disgrace	使丟臉	不名譽的;可恥的	去掉覆蓋物;拆除	使驚慌;使沮喪
disgraceful	不名譽的;可恥的	去掉覆蓋物;拆除	使驚慌;使沮喪	派遣;發送
dismantle	去掉覆蓋物;拆除	使驚慌;使沮喪	派遣;發送	非必要的;可分配的
dismay	使驚慌;使沮喪	派遣;發送	非必要的;可分配的	驅散;解散;散佈
dispatch	派遣;發送	非必要的;可分配的	驅散;解散;散佈	迫使離開;取代;免職
dispensable	非必要的;可分配的	驅散;解散;散佈	迫使離開;取代;免職	使不高興;得罪
disperse	驅散;解散;散佈	迫使離開;取代;免職	使不高興;得罪	可任意處理的;用完即丟棄的
