affirm	斷言;申明;堅稱	侵略;侵犯行為	含酒精的	使疏遠;離間
aggression	侵略;侵犯行為	含酒精的	使疏遠;離間	結盟;聯盟
alcoholic	含酒精的	使疏遠;離間	結盟;聯盟	分派;分配
alienate	使疏遠;離間	結盟;聯盟	分派;分配	沿著
alliance	結盟;聯盟	分派;分配	沿著	兩者(或若干)中擇一的
allocate	分派;分配	沿著	兩者(或若干)中擇一的	意義不明確;模稜兩可的話
alongside	沿著	兩者(或若干)中擇一的	意義不明確;模稜兩可的話	含糊不清的
alternative	兩者(或若干)中擇一的	意義不明確;模稜兩可的話	含糊不清的	救護車
ambiguity	意義不明確;模稜兩可的話	含糊不清的	救護車	埋伏下;伏擊
ambiguous	含糊不清的	救護車	埋伏下;伏擊	和藹可親的
ambulance	救護車	埋伏下;伏擊	和藹可親的	放大(聲音等);擴大
ambush	埋伏下;伏擊	和藹可親的	放大(聲音等);擴大	文選;論集
amiable	和藹可親的	放大(聲音等);擴大	文選;論集	相似;類推;類比
amplify	放大(聲音等);擴大	文選;論集	相似;類推;類比	分析師
analects	文選;論集	相似;類推;類比	分析師	分析的
analogy	相似;類推;類比	分析師	分析的	女主播
analyst	分析師	分析的	女主播	軼事
analytical	分析的	女主播	軼事	有生命的;活潑的;有活力的
anchorwoman	女主播	軼事	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)
anecdote	軼事	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)	匿名的
animate	有生命的;活潑的;有活力的	惱怒;打擾;討厭的東西(或人)	匿名的	南極的
annoyance	惱怒;打擾;討厭的東西(或人)	匿名的	南極的	天線
anonymous	匿名的	南極的	天線	抗生的;抗菌的
Antarctic/antarctic	南極的	天線	抗生的;抗菌的	抗體
antenna	天線	抗生的;抗菌的	抗體	預期;預先考慮到
antibiotic	抗生的;抗菌的	抗體	預期;預先考慮到	預期
antibody	抗體	預期;預先考慮到	預期	反義字
anticipate	預期;預先考慮到	預期	反義字	合用的
anticipation	預期	反義字	合用的	當學徒
antonym	反義字	合用的	當學徒	近似的;大概的
applicable	合用的	當學徒	近似的;大概的	傾向;習性;天資
apprentice	當學徒	近似的;大概的	傾向;習性;天資	北極的
approximate	近似的;大概的	傾向;習性;天資	北極的	傲慢的;自大的
aptitude	傾向;習性;天資	北極的	傲慢的;自大的	動脈;要道
Arctic/arctic	北極的	傲慢的;自大的	動脈;要道	發音清晰的;口才好的
arrogant	傲慢的;自大的	動脈;要道	發音清晰的;口才好的	人工製品;手工藝品
artery	動脈;要道	發音清晰的;口才好的	人工製品;手工藝品	暗殺,詆毀
articulate	發音清晰的;口才好的	人工製品;手工藝品	暗殺,詆毀	斷言;堅持
artifact	人工製品;手工藝品	暗殺,詆毀	斷言;堅持	估價
assassinate	暗殺,詆毀	斷言;堅持	估價	假設;擔任
