credible	可信的;可靠的	(判斷、批評的)標準;尺度	使彎曲	彎曲的
criterion	(判斷、批評的)標準;尺度	使彎曲	彎曲的	決定性的;重要的
crook	使彎曲	彎曲的	決定性的;重要的	粗糙的
crooked	彎曲的	決定性的;重要的	粗糙的	巡航;航遊;緩慢巡行
crucial	決定性的;重要的	粗糙的	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車
crude	粗糙的	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車	麵包屑
cruise	巡航;航遊;緩慢巡行	巡洋艦;遊艇;警察巡邏車	麵包屑	粉碎;崩潰;(希望等)破滅
cruiser	巡洋艦;遊艇;警察巡邏車	麵包屑	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮
crumb	麵包屑	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育
crumble	粉碎;崩潰;(希望等)破滅	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的
crust	結成外殼;覆有硬皮	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的	按慣例的
cultivate	栽培(作物等);養殖(魚等);培育	漸增的;蓄積的;累計的	按慣例的	水仙花
cumulative	漸增的;蓄積的;累計的	按慣例的	水仙花	頭皮屑
customary	按慣例的	水仙花	頭皮屑	黎明
daffodil	水仙花	頭皮屑	黎明	致命的,致死的;非常的,極度的
dandruff	頭皮屑	黎明	致命的,致死的;非常的,極度的	正派的;體面的
daybreak	黎明	致命的,致死的;非常的,極度的	正派的;體面的	果斷的，堅決的
deadly	致命的,致死的;非常的,極度的	正派的;體面的	果斷的，堅決的	拒絕
decent	正派的;體面的	果斷的，堅決的	拒絕	奉獻;獻身於;舉行落成典禮
decisive	果斷的，堅決的	拒絕	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身
decline	拒絕	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身	認為;視作
dedicate	奉獻;獻身於;舉行落成典禮	奉獻;揭幕儀式;獻身	認為;視作	缺陷
dedication	奉獻;揭幕儀式;獻身	認為;視作	缺陷	不足
deem	認為;視作	缺陷	不足	貶低;降低
defect	缺陷	不足	貶低;降低	深思熟慮的;蓄意的
deficiency	不足	貶低;降低	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的
degrade	貶低;降低	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的	譴責;告發
deliberate	深思熟慮的;蓄意的	怠忽職守的;拖欠的;犯法的	譴責;告發	密度
delinquent	怠忽職守的;拖欠的;犯法的	譴責;告發	密度	牙齒的;牙科的
denounce	譴責;告發	密度	牙齒的;牙科的	描畫;雕出
density	密度	牙齒的;牙科的	描畫;雕出	剝奪
dental	牙齒的;牙科的	描畫;雕出	剝奪	代表,代理人;副職,副手
depict	描畫;雕出	剝奪	代表,代理人;副職,副手	取得;衍生出
deprive	剝奪	代表,代理人;副職,副手	取得;衍生出	下降
deputy	代表,代理人;副職,副手	取得;衍生出	下降	後裔;從某一來源傳下的東西
derive	取得;衍生出	下降	後裔;從某一來源傳下的東西	下降;下傾;血統
descend	下降	後裔;從某一來源傳下的東西	下降;下傾;血統	指定的
descendant	後裔;從某一來源傳下的東西	下降;下傾;血統	指定的	命中注定的
descent	下降;下傾;血統	指定的	命中注定的	分開;拆卸;派遣
designate	指定的	命中注定的	分開;拆卸;派遣	扣留
