nourish	養育;滋養	討厭的人(或事物);騷擾行為	養育;培育	營養的,滋養的
nuisance	討厭的人(或事物);騷擾行為	養育;培育	營養的,滋養的	營養,滋養
nurture	養育;培育	營養的,滋養的	營養,滋養	有營養的
nutrient	營養的,滋養的	營養,滋養	有營養的	(道義上或法律上的)義務
nutrition	營養,滋養	有營養的	(道義上或法律上的)義務	施恩於
nutritious	有營養的	(道義上或法律上的)義務	施恩於	暗的;模糊的;偏僻的;微賤的
obligation	(道義上或法律上的)義務	施恩於	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程
oblige	施恩於	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程	子女;子孫;後代
obscure	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程	子女;子孫;後代	操作上的;經營上的
offering	提供;供奉;捐獻物;供物;課程	子女;子孫;後代	操作上的;經營上的	反對;反抗
offspring	子女;子孫;後代	操作上的;經營上的	反對;反抗	壓迫;壓制
operational	操作上的;經營上的	反對;反抗	壓迫;壓制	壓迫;壓制
opposition	反對;反抗	壓迫;壓制	壓迫;壓制	選擇;選擇權
oppress	壓迫;壓制	壓迫;壓制	選擇;選擇權	隨意的;非必須的
oppression	壓迫;壓制	選擇;選擇權	隨意的;非必須的	嚴峻考驗;折磨
option	選擇;選擇權	隨意的;非必須的	嚴峻考驗;折磨	整齊的;有條理的
optional	隨意的;非必須的	嚴峻考驗;折磨	整齊的;有條理的	生物;有機體
ordeal	嚴峻考驗;折磨	整齊的;有條理的	生物;有機體	創造力;獨創性;創見;創舉
orderly	整齊的;有條理的	生物;有機體	創造力;獨創性;創見;創舉	發源;來自
organism	生物;有機體	創造力;獨創性;創見;創舉	發源;來自	爆發;暴動
originality	創造力;獨創性;創見;創舉	發源;來自	爆發;暴動	裝備;配備;供給
originate	發源;來自	爆發;暴動	裝備;配備;供給	遠足;郊遊
outbreak	爆發;暴動	裝備;配備;供給	遠足;郊遊	宣佈...為不合法;禁止
outfit	裝備;配備;供給	遠足;郊遊	宣佈...為不合法;禁止	插座
outing	遠足;郊遊	宣佈...為不合法;禁止	插座	觀點;展望;風光;瞭望
outlaw	宣佈...為不合法;禁止	插座	觀點;展望;風光;瞭望	數量上超過
outlet	插座	觀點;展望;風光;瞭望	數量上超過	激起義憤;激怒;施暴行
outlook	觀點;展望;風光;瞭望	數量上超過	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的
outnumber	數量上超過	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的
outrage	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的	最初;開始;開端
outrageous	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的	最初;開始;開端	在上頭的;高架的
outright	全部的;直率的;公開的	最初;開始;開端	在上頭的;高架的	與...部分重疊
outset	最初;開始;開端	在上頭的;高架的	與...部分重疊	推翻
overhead	在上頭的;高架的	與...部分重疊	推翻	契約;協定
overlap	與...部分重疊	推翻	契約;協定	小冊子
overturn	推翻	契約;協定	小冊子	使麻痺;使癱瘓
pact	契約;協定	小冊子	使麻痺;使癱瘓	議會
pamphlet	小冊子	使麻痺;使癱瘓	議會	可憐的
paralyze	使麻痺;使癱瘓	議會	可憐的	愛國的
parliament	議會	可憐的	愛國的	掌上電腦
