valiant	勇敢的;英勇的	有根據的;有效的	確實;有效性	香草精
valid	有根據的;有效的	確實;有效性	香草精	易變的;變異的
validity	確實;有效性	香草精	易變的;變異的	變化;變異
vanilla	香草精	易變的;變異的	變化;變異	出售;販賣
variable	易變的;變異的	變化;變異	出售;販賣	小販
variation	變化;變異	出售;販賣	小販	邊沿
vend	出售;販賣	小販	邊沿	多才多藝的;多功能的
vendor	小販	邊沿	多才多藝的;多功能的	譯文;版本
verge	邊沿	多才多藝的;多功能的	譯文;版本	富有經驗的人;退役軍人
versatile	多才多藝的;多功能的	譯文;版本	富有經驗的人;退役軍人	獸醫
version	譯文;版本	富有經驗的人;退役軍人	獸醫	顫動;振動;震動
veteran	富有經驗的人;退役軍人	獸醫	顫動;振動;震動	惡;罪行;惡習
veterinarian/vet	獸醫	顫動;振動;震動	惡;罪行;惡習	惡意的;惡毒的
vibration	顫動;振動;震動	惡;罪行;惡習	惡意的;惡毒的	使犧牲;使痛苦
vice	惡;罪行;惡習	惡意的;惡毒的	使犧牲;使痛苦	勝利者
vicious	惡意的;惡毒的	使犧牲;使痛苦	勝利者	勝利的
victimize	使犧牲;使痛苦	勝利者	勝利的	別墅;(城郊)住宅
victor	勝利者	勝利的	別墅;(城郊)住宅	葡萄園
victorious	勝利的	別墅;(城郊)住宅	葡萄園	實質上的;虛擬的
villa	別墅;(城郊)住宅	葡萄園	實質上的;虛擬的	使顯現;使形象化
vineyard	葡萄園	實質上的;虛擬的	使顯現;使形象化	活力;生命力
virtual	實質上的;虛擬的	使顯現;使形象化	活力;生命力	聲音的;用言語表達的
visualize	使顯現;使形象化	活力;生命力	聲音的;用言語表達的	行業;天職
vitality	活力;生命力	聲音的;用言語表達的	行業;天職	職業的
vocal	聲音的;用言語表達的	行業;天職	職業的	風行;時髦事物(人物)
vocation	行業;天職	職業的	風行;時髦事物(人物)	嘔吐;使嘔吐
vocational	職業的	風行;時髦事物(人物)	嘔吐;使嘔吐	粗俗的;下流的
vogue	風行;時髦事物(人物)	嘔吐;使嘔吐	粗俗的;下流的	易受傷的;有弱點的
vomit	嘔吐;使嘔吐	粗俗的;下流的	易受傷的;有弱點的	衣櫃
vulgar	粗俗的;下流的	易受傷的;有弱點的	衣櫃	戰爭;衝突;鬥爭
vulnerable	易受傷的;有弱點的	衣櫃	戰爭;衝突;鬥爭	保證書;保單
wardrobe	衣櫃	戰爭;衝突;鬥爭	保證書;保單	防水的
warfare	戰爭;衝突;鬥爭	保證書;保單	防水的	無論怎麼的
warranty	保證書;保單	防水的	無論怎麼的	擋風玻璃
waterproof/watertight	防水的	無論怎麼的	擋風玻璃	抵擋;反抗;禁得起
whatsoever	無論怎麼的	擋風玻璃	抵擋;反抗;禁得起	機智的;說話風趣的
windshield	擋風玻璃	抵擋;反抗;禁得起	機智的;說話風趣的	追求;追逐
withstand	抵擋;反抗;禁得起	機智的;說話風趣的	追求;追逐	猛扭
witty	機智的;說話風趣的	追求;追逐	猛扭	摔角
woo	追求;追逐	猛扭	摔角	複印
