増える (ふえる)	to increase	to praise	to discover	to face 
褒める (ほめる)	to praise	to discover	to face 	soft
見つける (みつける)	to discover	to face 	soft	to part 
向かう (むかう)	to face 	soft	to part 	to that degree
柔らかい (やわらかい)	soft	to part 	to that degree	accessory
別れる (わかれる)	to part 	to that degree	accessory	announcer
それほど (其れ程)	to that degree	accessory	announcer	alcohol
アクセサリー	accessory	announcer	alcohol	part-time job
アナウンサー	announcer	alcohol	part-time job	escalator
アルコール	alcohol	part-time job	escalator	motorcycle
アルバイト	part-time job	escalator	motorcycle	curtain
エスカレーター	escalator	motorcycle	curtain	gas 
オートバイ	motorcycle	curtain	gas 	gasoline
カーテン	curtain	gas 	gasoline	gas station
ガス (瓦斯)	gas 	gasoline	gas station	glass
ガソリン	gasoline	gas station	glass	cake
ガソリンスタンド	gas station	glass	cake	concert
ガラス (硝子)	glass	cake	concert	computer
ケーキ	cake	concert	computer	salad
コンサート	concert	computer	salad	sandwich
