気分 (きぶん)	feeling	sudden	air	never
急 (きゅう)	sudden	air	never	blood
空気 (くうき)	air	never	blood	principal
決して (けっして)	never	blood	principal	senior high school student
血 (ち)	blood	principal	senior high school student	deplorable
校長 (こうちょう)	principal	senior high school student	deplorable	address 
高校生 (こうこうせい)	senior high school student	deplorable	address 	primary school
残念 (ざんねん)	deplorable	address 	primary school	novel
住所 (じゅうしょ)	address 	primary school	novel	son 
小学校 (しょうがっこう)	primary school	novel	son 	graduation
小説 (しょうせつ)	novel	son 	graduation	day
息子 (むすこ)	son 	graduation	day	art gallery
卒業 (そつぎょう)	graduation	day	art gallery	always
日 (ひ)	day	art gallery	always	complex
美術館 (びじゅつかん)	art gallery	always	complex	to change
必ず (かならず)	always	complex	to change	flavor
複雑 (ふくざつ)	complex	to change	flavor	substitute
変わる (かわる)	to change	flavor	substitute	neck 
味 (あじ)	flavor	substitute	neck 	rate
代わり (かわり)	substitute	neck 	rate	not exceeding
