お祭り (おまつり)	festival	metropolitan	way of swimming	soon
都 (と)	metropolitan	way of swimming	soon	rich person
泳ぎ方 (およぎかた)	way of swimming	soon	rich person	safety
もうすぐ (もう直ぐ)	soon	rich person	safety	opinion
お金持ち (おかねもち)	rich person	safety	opinion	meeting
安全 (あんぜん)	safety	opinion	meeting	relation
意見 (いけん)	opinion	meeting	relation	spirit
会議 (かいぎ)	meeting	relation	spirit	technology
関係 (かんけい)	relation	spirit	technology	guest
気 (き)	spirit	technology	guest	education
技術 (ぎじゅつ)	technology	guest	education	airport
客 (きゃく)	guest	education	airport	form
教育 (きょういく)	education	airport	form	economics
空港 (くうこう)	airport	form	economics	police 
形 (かたち)	form	economics	police 	study
経済 (けいざい)	economics	police 	study	cause
警察 (けいさつ)	police 	study	cause	light 
研究 (けんきゅう)	study	cause	light 	senior high school
原因 (げんいん)	cause	light 	senior high school	international 
光 (ひかり)	light 	senior high school	international 	recently
