こう (斯う)	in this way	America 	to be attached	hospital nurse
アメリカ (亜米利加)	America 	to be attached	hospital nurse	Africa
付く (つく)	to be attached	hospital nurse	Africa	so much
看護師 (かんごし)	hospital nurse	Africa	so much	like that 
アフリカ (阿弗利加)	Africa	so much	like that 	to see
そんなに	so much	like that 	to see	ah
ああ	like that 	to see	ah	Asia
ご覧になる (ごらんになる)	to see	ah	Asia	sandal
あっ	ah	Asia	sandal	suitcase
あじあ (亜細亜)	Asia	sandal	suitcase	screen
サンダル	sandal	suitcase	screen	steak
スーツケース	suitcase	screen	steak	check
スクリーン	screen	steak	check	cash register 
ステーキ	steak	check	cash register 	to begin to rain
チェック	check	cash register 	to begin to rain	to be 
レジ	cash register 	to begin to rain	to be 	grace 
降り出す (ふりだす)	to begin to rain	to be 	grace 	calling on someone who is ill
おいでになる (お出でになる)	to be 	grace 	calling on someone who is ill	festival
おかげ (お蔭)	grace 	calling on someone who is ill	festival	metropolitan
お見舞い (おみまい)	calling on someone who is ill	festival	metropolitan	way of swimming
