立てる (たてる)	to stand up	force	pickpocket	closet
力 (ちから)	force	pickpocket	closet	feast
すり (掏摸)	pickpocket	closet	feast	tightly 
押し入れ (おしいれ)	closet	feast	tightly 	moustache
ご馳走 (ごちそう)	feast	tightly 	moustache	cruel
しっかり (確り)	tightly 	moustache	cruel	to become thin
ひげ (髭)	moustache	cruel	to become thin	to grow hot 
ひどい (酷い)	cruel	to become thin	to grow hot 	congratulation
痩せる (やせる)	to become thin	to grow hot 	congratulation	occasionally
沸く (わく)	to grow hot 	congratulation	occasionally	yes
お祝い (おいわい)	congratulation	occasionally	yes	reading
たまに (偶に)	occasionally	yes	reading	date
うん	yes	reading	date	board
