盗む (ぬすむ)	to steal	twice	ryokan	reception 
倍 (ばい)	twice	ryokan	reception 	rooftop
旅館 (りょかん)	ryokan	reception 	rooftop	fire
受付 (うけつけ)	reception 	rooftop	fire	to think about
屋上 (おくじょう)	rooftop	fire	to think about	auditorium
火事 (かじ)	fire	to think about	auditorium	to rise
考える (かんがえる)	to think about	auditorium	to rise	foodstuff
講堂 (こうどう)	auditorium	to rise	foodstuff	grandmother
上がる (あがる)	to rise	foodstuff	grandmother	geography
食料品 (しょくりょうひん)	foodstuff	grandmother	geography	to fall 
祖母 (そぼ)	grandmother	geography	to fall 	limited express 
地理 (ちり)	geography	to fall 	limited express 	futon 
倒れる (たおれる)	to fall 	limited express 	futon 	to fall down
特急 (とっきゅう)	limited express 	futon 	to fall down	dictionary
布団 (ふとん)	futon 	to fall down	dictionary	underwear
落ちる (おちる)	to fall down	dictionary	underwear	bitter
辞典 (じてん)	dictionary	underwear	bitter	considerably
下着 (したぎ)	underwear	bitter	considerably	shelf
苦い (にがい)	bitter	considerably	shelf	absence
だいぶ (大分)	considerably	shelf	absence	drawer 
