人口 (じんこう)	population 	the world	politics	living
世界 (せかい)	the world	politics	living	production
政治 (せいじ)	politics	living	production	war
生活 (せいかつ)	living	production	war	man
生産 (せいさん)	production	war	man	particularly
戦争 (せんそう)	war	man	particularly	special
男性 (だんせい)	man	particularly	special	opposition
特に (とくに)	particularly	special	opposition	program 
特別 (とくべつ)	special	opposition	program 	necessary
反対 (はんたい)	opposition	program 	necessary	husband
番組 (ばんぐみ)	program 	necessary	husband	head 
必要 (ひつよう)	necessary	husband	head 	culture
夫 (おっと)	husband	head 	culture	trade 
部長 (ぶちょう)	head 	culture	trade 	plans
文化 (ぶんか)	culture	trade 	plans	reason
貿易 (ぼうえき)	trade 	plans	reason	history
予定 (よてい)	plans	reason	history	factory
理由 (りゆう)	reason	history	factory	to perform
歴史 (れきし)	history	factory	to perform	feeling
工場 (こうじょう)	factory	to perform	feeling	within
