高校 (こうこう)	senior high school	international 	recently	end
国際 (こくさい)	international 	recently	end	beginning
最近 (さいきん)	recently	end	beginning	wife 
最後 (さいご)	end	beginning	wife 	industry 
最初 (さいしょ)	beginning	wife 	industry 	child 
妻 (つま)	wife 	industry 	child 	citizen
産業 (さんぎょう)	industry 	child 	citizen	match
子 (こ)	child 	citizen	match	accident
市民 (しみん)	citizen	match	accident	office
試合 (しあい)	match	accident	office	period
事故 (じこ)	accident	office	period	freedom
事務所 (じむしょ)	office	period	freedom	society
時代 (じだい)	period	freedom	society	company president
自由 (じゆう)	freedom	society	company president	enough
社会 (しゃかい)	society	company president	enough	woman
社長 (しゃちょう)	company president	enough	woman	future 
十分 (じゅうぶん)	enough	woman	future 	place
女性 (じょせい)	woman	future 	place	population 
将来 (しょうらい)	future 	place	population 	the world
場所 (ばしょ)	place	population 	the world	politics
