korean,writing,20,basic,1. 基本,choose,number,1.數字,time,2.時間,place,3.地方,color,4.顏色,shape,5.形狀
korean,writing,20,people,2. 人,choose,appearance,1.外貌,personality,2.個性,carrer,3.職業,family,4.家族,life,5.生死,action,6.動作,call,7.稱呼,score,8.評價,think,9.思想,feel,10.感覺,health,11.健康,body,12.身體
korean,writing,20,eat,3. 食,choose,food,1.食物,cook,2.料理,eat,3.用餐
korean,writing,20,wear,4. 衣,choose,clothes,1.服飾,wear,2.穿戴
korean,writing,20,live,5. 住,choose,getup,1.起居,clean,2.清掃,object,3.物品,pay,4.支出,home,5.家中
korean,writing,20,move,6. 行,choose,street,1.街道,method,2.方法,move,3.移動
korean,writing,20,teach,7. 育,choose,teach,1.教學,work,2.工作,information,3.情報
korean,writing,20,play,8. 樂,choose,amusement,1.娛樂,interpersonal,2.人際
korean,writing,20,status,9. 樣態,choose,compare,1.比較,change,2.變化,quantity,3.份量,function,4.機能
korean,writing,20,nature,10.自然,choose,animal,1.動物,plant,2.植物,weather,3.天氣,earth,4.天地,exist,5.形體
korean,writing,20,nation,11.國家,choose,law,1.法律,name,2.名稱,region,3.宗教,political,4.行政,world,5.世界
korean,writing,20,topik51,TOPIK 51題型,choose,1,1.基本1,2,2.基本2,3,3.基本3,4,4.敬語,5,5.說明文
korean,writing,20,topik52, TOPIK 52題型,choose,1,1.圖表
