Is it an egg?	那是一顆蛋嗎？	--
Yes,it is	是，它是	--
It's so big	它好大	--
let's take it back	讓我們帶它回家吧	--
a book	一本書	--
a notebook	一本筆記本	--
an eraser	一個橡皮擦	--
a pen	一支筆	--
a pencil	一支鉛筆	--
a ruler	一把尺	--
queen	王后	--
rainbow	彩虹	--
hair	頭髮	--
smell	聞	--
tail	尾巴	--
umbrella	傘	--
take out your book	拿出你的書	--
put away your book	收進你的書	--
open your book	打開你的書	--
close your book	闔上你的書	--
twenty	20	--
twenty-one	21	--
twenty-two	22	--
twenty-three	23	--
twenty-four	24	--
twenty-five	25	--
twenty-six	26	--
twenty-seven	27	--
twenty-eight	28	--
twenty-nine	29	--
