[간장]을 넣다	加「醬油」
[고추장]을 넣다	加「辣椒醬」
[기름]에 튀기다	用「油」炸
[된장]에 찍다	沾「味噌醬」
[설탕]을 넣다	加「糖」
[소금]이 짜다	「鹽」很鹹
[식초]를 넣다	加「醋」
고기를 [굽다]	「烤」肉
사과를 [깎다]	「削」蘋果
물을 [끓이다]	「燒」水
음식을 [만들다]	做「食物」
고기를 [볶다]	「炒」肉
오이를 [썰다]	「切」小黃瓜
감자를 [찌다]	「蒸」番薯
커피를 [타다]	「沖」咖啡
기름에 [튀기다]	油「炸」
[프라이팬]에 볶다	在「平底鍋」炒
[밀가루]	麵粉
[쌀]:보리	大麥
[카레]	咖哩
맛이 [달다]	「甜的」味道
[맛]이 달다	嘗「味道」
음식이 [맛없다]	食物「不好吃」
음식이 [맛있다]	食物「好吃」
고추가 [맵다]	辣椒「很辣」
[멋]을 내다	飄出「味道」
맛이 [시다]	味道「酸」
맛이 [싱겁다]	味道「很淡」
맛이 [쓰다]	味道「苦」
맛이 [짜다]	味道「鹹」
[고추]를 따다	摘「辣椒」
[고춧가루]를 넣다	加「辣椒粉」
[깨]를 볶다	炒「芝麻」
[꿀]을 찍어 먹다	沾「蜂蜜」吃
[버터]를 바르다	塗「奶油」
[소금물]에 절이다	用「鹽水」醃
[소스]를 뿌리다	淋「醬」
[양념]을 섞다	加「調味料」
[잼]을 바르다	塗「果醬」
[조미료]를 넣다	放「調味品」
[참기름]을 바르다	塗「芝麻油」
[치즈]를 먹다	吃「起司」
[크림]을 넣다(음식)	放「奶油」
[후추]를 뿌리다	撒「胡椒」
후추를 [치다]	「撒」胡椒
껍데기를 [까다]	「剝」縠
[냉동]을 시키다	讓它「冷凍」
찌개를 [데우다]	「熱」湯
채소를 [데치다]	「燙」菜
신문을 [말다]	「卷」報紙
국에 밥을 [말다]	把飯「泡在」湯裡
[물기]가 마르다	「水氣」乾了
[볶음] 멸치	「炒」鯷魚
국수를 [삶다]	「熬」湯
고기를 [익히다]	把肉「弄熟」
기술을 [익히다]	技術「變熟」
[조리] 시간	「烹飪」時間
생선 [조림]	「炖」魚
음식을 [차리다]	「準備」食物
밥을 [푸다]	「盛」飯
[도마]에 놓고 썰다	放在「砧板」切
[뚜껑]을 닫다	蓋「蓋子」
[바가지]에 담다	裝進「瓢」裡
[밥솥]에 밥을 하다	用「電鍋」做飯
[술병]을 비우다	喝光「酒瓶」
[식기]를 씻다	洗「餐具」
[주전자]에 물을 끓이다	在「壺」中燒水
[곡식]을 거두다	收割「糧食」
[반죽]을 만들다	做「麵團」
[보리]를 재배하다	栽培「大麥」
[간]을 보다	嚐「味道」
맛이 [고소하다]	味道「很香」
맛이 [구수하다]	保存
튀김이 [느끼하다]	油炸物「很膩」
[단맛]을 느끼다	嚐到「甜味」
단추를 [달다]	「解開」扣子
케이크가 [달콤하다]	蛋糕是「甜的」
맛이 [담백하다]	味道「清淡」
[매운맛]이 나다	發出「辣味」
음식이 [상하다]	食物「腐爛」
차를 [식히다]	茶「冷了」
[신맛]이 나다	發出「酸味」
고기가 [썩다]	肉「腐敗」
[쓴맛]이 나다	散發「苦味」
[짠맛]이 나다	有「鹹味」
[식량]을 구하다	尋找「糧食」
[식료품]을 사다	買「食料品」
[식용유]에 튀기다	用「食用油」炸
