a.m./am/A.M./AM	早上	放棄	下腹	絕對的
abandon	放棄	下腹	絕對的	公司合併
abdomen	下腹	絕對的	公司合併	抽象的
absolute	絕對的	公司合併	抽象的	學術的
absorb	公司合併	抽象的	學術的	重音;腔調
abstract	抽象的	學術的	重音;腔調	接受;領受;(票據等的)承兌,認付
academic	學術的	重音;腔調	接受;領受;(票據等的)承兌,認付	通道;入口;門路
accent	重音;腔調	接受;領受;(票據等的)承兌,認付	通道;入口;門路	偶然的;意外的
acceptance	接受;領受;(票據等的)承兌,認付	通道;入口;門路	偶然的;意外的	陪同;伴隨
access	通道;入口;門路	偶然的;意外的	陪同;伴隨	完成;實現;達到
accidental	偶然的;意外的	陪同;伴隨	完成;實現;達到	會計師
accompany	陪同;伴隨	完成;實現;達到	會計師	正確(性);準確(性)
accomplish	完成;實現;達到	會計師	正確(性);準確(性)	指控
accountant	會計師	正確(性);準確(性)	指控	酸性的;有酸味的
accuracy	正確(性);準確(性)	指控	酸性的;有酸味的	使認識;使熟悉
accuse	指控	酸性的;有酸味的	使認識;使熟悉	熟人
acid	酸性的;有酸味的	使認識;使熟悉	熟人	取得;獲得
acquaint	使認識;使熟悉	熟人	取得;獲得	英畝
acquaintance	熟人	取得;獲得	英畝	使適應;使適合
acquire	取得;獲得	英畝	使適應;使適合	足夠的
acre	英畝	使適應;使適合	足夠的	形容詞
adapt	使適應;使適合	足夠的	形容詞	校準;調整
adequate	足夠的	形容詞	校準;調整	值得讚揚的;絕妙的
adjective	形容詞	校準;調整	值得讚揚的;絕妙的	欽佩;羨慕
adjust	校準;調整	值得讚揚的;絕妙的	欽佩;羨慕	入會
admirable	值得讚揚的;絕妙的	欽佩;羨慕	入會	副詞
admiration	欽佩;羨慕	入會	副詞	仲介;代理
admission	入會	副詞	仲介;代理	代理人;代理商
adverb	副詞	仲介;代理	代理人;代理商	好鬥的,挑釁的;有進取精神的
agency	仲介;代理	代理人;代理商	好鬥的,挑釁的;有進取精神的	欣然贊同的
agent	代理人;代理商	好鬥的,挑釁的;有進取精神的	欣然贊同的	愛滋病
aggressive	好鬥的,挑釁的;有進取精神的	欣然贊同的	愛滋病	酒精
agreeable	欣然贊同的	愛滋病	酒精	警惕的;機敏的
AIDS/acquired immune	愛滋病	酒精	警惕的;機敏的	津貼,零用錢
alcohol	酒精	警惕的;機敏的	津貼,零用錢	鋁
alert	警惕的;機敏的	津貼,零用錢	鋁	業餘的;外行的
allowance/pocket money	津貼,零用錢	鋁	業餘的;外行的	有野心的
aluminum	鋁	業餘的;外行的	有野心的	在～之間
amateur	業餘的;外行的	有野心的	在～之間	逗...高興
ambitious	有野心的	在～之間	逗...高興	分析
