experimental	實驗性的;試驗性的	說明,解釋	探測;探勘	爆發;爆炸
explanation	說明,解釋	探測;探勘	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物
explore	探測;探勘	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物	使暴露於
explosion	爆發;爆炸	爆炸(性)的;爆發性的;爆裂物	使暴露於	暴露;暴曬
explosive	爆炸(性)的;爆發性的;爆裂物	使暴露於	暴露;暴曬	延長,延伸
expose	使暴露於	暴露;暴曬	延長,延伸	程度;限度;範圍
exposure	暴露;暴曬	延長,延伸	程度;限度;範圍	臉的;面部的
extend	延長,延伸	程度;限度;範圍	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所
extent	程度;限度;範圍	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的
facial	臉的;面部的	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的	聲譽,名望
facility	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的	聲譽,名望	奇妙的
faithful	忠實的;忠誠的	聲譽,名望	奇妙的	空想;幻想
fame	聲譽,名望	奇妙的	空想;幻想	告別;告別辭
fantastic	奇妙的	空想;幻想	告別;告別辭	致命的
fantasy	空想;幻想	告別;告別辭	致命的	有利的；適合的
farewell	告別;告別辭	致命的	有利的；適合的	盛宴款待
fatal	致命的	有利的；適合的	盛宴款待	用渡船運送
favorable	有利的；適合的	盛宴款待	用渡船運送	(土地)肥沃的,富饒的;受精的
feast	盛宴款待	用渡船運送	(土地)肥沃的,富饒的;受精的	去拿來
ferry	用渡船運送	(土地)肥沃的,富饒的;受精的	去拿來	小說
fertile	(土地)肥沃的,富饒的;受精的	去拿來	小說	兇猛的;殘酷的
fetch	去拿來	小說	兇猛的;殘酷的	籌措資金
fiction	小說	兇猛的;殘酷的	籌措資金	財政的;金融的
fierce	兇猛的;殘酷的	籌措資金	財政的;金融的	爆竹;鞭炮
finance	籌措資金	財政的;金融的	爆竹;鞭炮	壁爐
financial	財政的;金融的	爆竹;鞭炮	壁爐	諂媚;奉承
firecracker	爆竹;鞭炮	壁爐	諂媚;奉承	逃離;逃避
fireplace	壁爐	諂媚;奉承	逃離;逃避	彈性的
flatter	諂媚;奉承	逃離;逃避	彈性的	流利的,流暢的
flee	逃離;逃避	彈性的	流利的,流暢的	失敗;不及格
flexible	彈性的	流利的,流暢的	失敗;不及格	湧;湧流;用水沖洗;沖馬桶
fluent	流利的,流暢的	失敗;不及格	湧;湧流;用水沖洗;沖馬桶	起泡沫
flunk	失敗;不及格	湧;湧流;用水沖洗;沖馬桶	起泡沫	禁止,不許
flush	湧;湧流;用水沖洗;沖馬桶	起泡沫	禁止,不許	預測
foam	起泡沫	禁止,不許	預測	形成;構成物; 形態, 結構
forbid	禁止,不許	預測	形成;構成物; 形態, 結構	配方,處方;公式
forecast	預測	形成;構成物; 形態, 結構	配方,處方;公式	堡壘,要塞
formation	形成;構成物; 形態, 結構	配方,處方;公式	堡壘,要塞	幸運的,僥倖的
formula	配方,處方;公式	堡壘,要塞	幸運的,僥倖的	化石的;守舊的
fort	堡壘,要塞	幸運的,僥倖的	化石的;守舊的	建立,創辦;基礎;基金會
