lotion	乳液	不潔的;卑鄙的;討厭的	忠誠的,忠心的	忠誠;忠心
lousy	不潔的;卑鄙的;討厭的	忠誠的,忠心的	忠誠;忠心	月的;陰曆的
loyal	忠誠的,忠心的	忠誠;忠心	月的;陰曆的	奢侈的;驕奢淫逸的
loyalty	忠誠;忠心	月的;陰曆的	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣
lunar	月的;陰曆的	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣	用機器做
luxurious	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣	用機器做	機器;機械
luxury	奢侈品,奢華;享受,樂趣	用機器做	機器;機械	夫人,太太
machine	用機器做	機器;機械	夫人,太太	磁鐵的;磁性的
machinery	機器;機械	夫人,太太	磁鐵的;磁性的	壯麗的,宏偉的
madam/ma’am	夫人,太太	磁鐵的;磁性的	壯麗的,宏偉的	和解
magnetic	磁鐵的;磁性的	壯麗的,宏偉的	和解	用手操作的
magnificent	壯麗的,宏偉的	和解	用手操作的	(大量)製造,加工
makeup	和解	用手操作的	(大量)製造,加工	製造業者,廠商
manual	用手操作的	(大量)製造,加工	製造業者,廠商	馬拉松賽跑
manufacture	(大量)製造,加工	製造業者,廠商	馬拉松賽跑	利潤
manufacturer	製造業者,廠商	馬拉松賽跑	利潤	成熟;完善;(支票等的)到期
marathon	馬拉松賽跑	利潤	成熟;完善;(支票等的)到期	最大限度的
margin	利潤	成熟;完善;(支票等的)到期	最大限度的	測量
maturity	成熟;完善;(支票等的)到期	最大限度的	測量	技工
maximum	最大限度的	測量	技工	機械的
measure	測量	技工	機械的	值得懷念的;難忘的
mechanic	技工	機械的	值得懷念的;難忘的	追悼的;記憶的
mechanical	機械的	值得懷念的;難忘的	追悼的;記憶的	慈悲,憐憫;仁慈
memorable	值得懷念的;難忘的	追悼的;記憶的	慈悲,憐憫;仁慈	僅僅的,只不過的
memorial	追悼的;記憶的	慈悲,憐憫;仁慈	僅僅的,只不過的	長處,優點
mercy	慈悲,憐憫;仁慈	僅僅的,只不過的	長處,優點	送信人
mere	僅僅的,只不過的	長處,優點	送信人	混亂的
merit	長處,優點	送信人	混亂的	顯微鏡
messenger	送信人	混亂的	顯微鏡	溫和的,溫柔的
messy	混亂的	顯微鏡	溫和的,溫柔的	礦物
microscope	顯微鏡	溫和的,溫柔的	礦物	最小的,最少的
mild	溫和的,溫柔的	礦物	最小的,最少的	部長;大臣
mineral	礦物	最小的,最少的	部長;大臣	內閣
minimum	最小的,最少的	部長;大臣	內閣	頑皮,淘氣
minister	部長;大臣	內閣	頑皮,淘氣	悽慘的;悲哀的
ministry	內閣	頑皮,淘氣	悽慘的;悲哀的	不幸;惡運
mischief	頑皮,淘氣	悽慘的;悲哀的	不幸;惡運	把...帶錯方向;把...引入歧途
miserable	悽慘的;悲哀的	不幸;惡運	把...帶錯方向;把...引入歧途	誤會;曲解
misfortune	不幸;惡運	把...帶錯方向;把...引入歧途	誤會;曲解	中等的,適度的
mislead	把...帶錯方向;把...引入歧途	誤會;曲解	中等的,適度的	審慎的;適度的
