splendid	燦爛的;傑出的	劈開;切開	運動家;願意冒險的人	運動員精神,運動道德
split	劈開;切開	運動家;願意冒險的人	運動員精神,運動道德	狀況,狀態
sportsman	運動家;願意冒險的人	運動員精神,運動道德	狀況,狀態	莖
sportsmanship	運動員精神,運動道德	狀況,狀態	莖	小氣的
status	狀況,狀態	莖	小氣的	加強;增強
stem	莖	小氣的	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭
stingy	小氣的	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭	中風
strengthen	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭	中風	海底的
strive	努力,苦幹,奮鬥;反抗,鬥爭	中風	海底的	建議,提議
stroke 	中風	海底的	建議,提議	總結,概述,概括
submarine	海底的	建議,提議	總結,概述,概括	衝浪;在網路或頻道上搜索資料
suggestion	建議,提議	總結,概述,概括	衝浪;在網路或頻道上搜索資料	外科醫生
summarize	總結,概述,概括	衝浪;在網路或頻道上搜索資料	外科醫生	(外科)手術
surf	衝浪;在網路或頻道上搜索資料	外科醫生	(外科)手術	使投降,使自首
surgeon	外科醫生	(外科)手術	使投降,使自首	周圍的事物;周圍的情況
surgery	(外科)手術	使投降,使自首	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的
surrender	使投降,使自首	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的	統治
surroundings	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的	統治	音節
suspicious	猜疑的,疑心的;多疑的	統治	音節	同情的;有同情心的
sway	統治	音節	同情的;有同情心的	同情,同情心;弔唁
syllable	音節	同情的;有同情心的	同情,同情心;弔唁	交響樂,交響曲
sympathetic	同情的;有同情心的	同情,同情心;弔唁	交響樂,交響曲	糖漿
sympathy	同情,同情心;弔唁	交響樂,交響曲	糖漿	有系統的;成體系的
symphony	交響樂,交響曲	糖漿	有系統的;成體系的	龍頭
syrup	糖漿	有系統的;成體系的	龍頭	技術人員,技師
systematic	有系統的;成體系的	龍頭	技術人員,技師	技術(學)的,工藝(學)的
tap 	龍頭	技術人員,技師	技術(學)的,工藝(學)的	電報
technician	技術人員,技師	技術(學)的,工藝(學)的	電報	用電報發送;電匯;電購
technological	技術(學)的,工藝(學)的	電報	用電報發送;電匯;電購	望遠鏡
telegram	電報	用電報發送;電匯;電購	望遠鏡	傾向;癖性
telegraph	用電報發送;電匯;電購	望遠鏡	傾向;癖性	繃緊的
telescope	望遠鏡	傾向;癖性	繃緊的	緊張;張力
tendency	傾向;癖性	繃緊的	緊張;張力	使害怕;使恐怖
tense	繃緊的	緊張;張力	使害怕;使恐怖	恐怖,驚駭
tension	緊張;張力	使害怕;使恐怖	恐怖,驚駭	主題思想;題材
terrify	使害怕;使恐怖	恐怖,驚駭	主題思想;題材	徹底的;完全的
terror	恐怖,驚駭	主題思想;題材	徹底的;完全的	考慮周到的
theme	主題思想;題材	徹底的;完全的	考慮周到的	膽小的;羞怯的
thorough	徹底的;完全的	考慮周到的	膽小的;羞怯的	令人厭倦的
thoughtful	考慮周到的	膽小的;羞怯的	令人厭倦的	可忍受的;可容忍的
