infect	傳染;侵染;感染	傳染;侵染	通貨膨脹	有影響的
infection	傳染;侵染	通貨膨脹	有影響的	服務台
inflation	通貨膨脹	有影響的	服務台	教育性的;有益的
influential	有影響的	服務台	教育性的;有益的	要素,因素
information	服務台	教育性的;有益的	要素,因素	開始的，最初的
informative	教育性的;有益的	要素,因素	開始的，最初的	天真無邪
ingredient	要素,因素	開始的，最初的	天真無邪	將(資料等)輸入電腦
initial	開始的，最初的	天真無邪	將(資料等)輸入電腦	插入;嵌入
innocence	天真無邪	將(資料等)輸入電腦	插入;嵌入	檢查;檢閱;視察
input	將(資料等)輸入電腦	插入;嵌入	檢查;檢閱;視察	靈感
insert	插入;嵌入	檢查;檢閱;視察	靈感	鼓舞
inspection	檢查;檢閱;視察	靈感	鼓舞	安裝,設置
inspiration	靈感	鼓舞	安裝,設置	本能;天性;直覺
inspire	鼓舞	安裝,設置	本能;天性;直覺	指示
install	安裝,設置	本能;天性;直覺	指示	教練;指導者
instinct	本能;天性;直覺	指示	教練;指導者	侮辱,羞辱
instruct	指示	教練;指導者	侮辱,羞辱	保險;保險契約
instructor	教練;指導者	侮辱,羞辱	保險;保險契約	智力的
insult	侮辱,羞辱	保險;保險契約	智力的	智能;智慧;理解力
insurance	保險;保險契約	智力的	智能;智慧;理解力	有才智的
intellectual	智力的	智能;智慧;理解力	有才智的	想要;打算
intelligence	智能;智慧;理解力	有才智的	想要;打算	強烈的,劇烈的
intelligent	有才智的	想要;打算	強烈的,劇烈的	加強,增強
intend	想要;打算	強烈的,劇烈的	加強,增強	強度;極度
intense	強烈的,劇烈的	加強,增強	強度;極度	加強的;密集的
intensify	加強,增強	強度;極度	加強的;密集的	意圖
intensity	強度;極度	加強的;密集的	意圖	互相作用
intensive	加強的;密集的	意圖	互相作用	互動
intention	意圖	互相作用	互動	介入;干涉,干預
interact	互相作用	互動	介入;干涉,干預	中等程度的,中級的
interaction	互動	介入;干涉,干預	中等程度的,中級的	網際網路
interfere	介入;干涉,干預	中等程度的,中級的	網際網路	口譯
intermediate	中等程度的,中級的	網際網路	口譯	中止;干擾
Internet/internet	網際網路	口譯	中止;干擾	親密的,熟悉的
interpret	口譯	中止;干擾	親密的,熟悉的	語調;抑揚之聲
interruption	中止;干擾	親密的,熟悉的	語調;抑揚之聲	侵害
intimate	親密的,熟悉的	語調;抑揚之聲	侵害	入侵,侵略
intonation	語調;抑揚之聲	侵害	入侵,侵略	發明,創造
invade	侵害	入侵,侵略	發明,創造	投(資)
invasion	入侵,侵略	發明,創造	投(資)	調查
