observation	觀察;觀測	障礙(物);妨礙	得到,獲得	偶爾的,非經常的
obstacle	障礙(物);妨礙	得到,獲得	偶爾的,非經常的	工作,職業;佔領;佔用
obtain	得到,獲得	偶爾的,非經常的	工作,職業;佔領;佔用	佔領,佔據
occasional	偶爾的,非經常的	工作,職業;佔領;佔用	佔領,佔據	冒犯;觸怒
occupation	工作,職業;佔領;佔用	佔領,佔據	冒犯;觸怒	進攻,攻擊;冒犯;觸怒
occupy	佔領,佔據	冒犯;觸怒	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的
offend	冒犯;觸怒	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的	歌劇
offense	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的	歌劇	手術
offensive	冒犯的,唐突的	歌劇	手術	反對
opera	歌劇	手術	反對	口頭的,口述的;口部的
operation	手術	反對	口頭的,口述的;口部的	繞軌道運行
oppose	反對	口頭的,口述的;口部的	繞軌道運行	管弦樂隊
oral	口頭的,口述的;口部的	繞軌道運行	管弦樂隊	有機的
orbit	繞軌道運行	管弦樂隊	有機的	除此以外;否則,不然
orchestra	管弦樂隊	有機的	除此以外;否則,不然	結果;結局
organic	有機的	除此以外;否則,不然	結果;結局	傑出的;未償付的
otherwise	除此以外;否則,不然	結果;結局	傑出的;未償付的	橢圓形
outcome	結果;結局	傑出的;未償付的	橢圓形	戰勝;克服
outstanding	傑出的;未償付的	橢圓形	戰勝;克服	眺望;俯瞰
oval	橢圓形	戰勝;克服	眺望;俯瞰	通宵;整夜
overcome	戰勝;克服	眺望;俯瞰	通宵;整夜	追上;趕上;超過
overlook	眺望;俯瞰	通宵;整夜	追上;趕上;超過	打倒;推翻;廢除
overnight	通宵;整夜	追上;趕上;超過	打倒;推翻;廢除	氧;氧氣
overtake	追上;趕上;超過	打倒;推翻;廢除	氧;氧氣	下午
overthrow	打倒;推翻;廢除	氧;氧氣	下午	踱步於
oxygen	氧;氧氣	下午	踱步於	鑲板
p.m./pm/P.M./PM	下午	踱步於	鑲板	降落傘
pace	踱步於	鑲板	降落傘	(文章的)段,節
panel	鑲板	降落傘	(文章的)段,節	部分的,局部的;不完全的;不公平的
parachute	降落傘	(文章的)段,節	部分的,局部的;不完全的;不公平的	參加
paragraph	(文章的)段,節	部分的,局部的;不完全的;不公平的	參加	分詞
partial	部分的,局部的;不完全的;不公平的	參加	分詞	合夥(或合作)關係
participation	參加	分詞	合夥(或合作)關係	被動的;消極的
participle	分詞	合夥(或合作)關係	被動的;消極的	麵糰
partnership	合夥(或合作)關係	被動的;消極的	麵糰	小卵石
passive	被動的;消極的	麵糰	小卵石	奇怪的;乖癖的
pasta	麵糰	小卵石	奇怪的;乖癖的	踩踏板
pebble	小卵石	奇怪的;乖癖的	踩踏板	仔細看
peculiar	奇怪的;乖癖的	踩踏板	仔細看	處罰;刑罰;罰款
pedal	踩踏板	仔細看	處罰;刑罰;罰款	百分之一
