invention	發明,創造	投(資)	調查	使捲入,連累;牽涉
invest	投(資)	調查	使捲入,連累;牽涉	使孤立
investigation	調查	使捲入,連累;牽涉	使孤立	隔離
involve	使捲入,連累;牽涉	使孤立	隔離	發癢
isolate	使孤立	隔離	發癢	妒忌;猜忌
isolation	隔離	發癢	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的
itch	發癢	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的
jealousy	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的	用指關節敲打
junior	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的	用指關節敲打	勞工
keen	熱心的;敏銳的;渴望的	用指關節敲打	勞工	實驗室,研究室
knuckle	用指關節敲打	勞工	實驗室,研究室	落後;延遲
labor	勞工	實驗室,研究室	落後;延遲	地標,陸標;里程碑
laboratory/lab	實驗室,研究室	落後;延遲	地標,陸標;里程碑	在(一片土地)上造園
lag	落後;延遲	地標,陸標;里程碑	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利
landmark	地標,陸標;里程碑	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地
landscape	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地	最近
landslide/mudslide	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地	最近	發射;開始
largely	大部分;主要地;大量地	最近	發射;開始	合法的
lately	最近	發射;開始	合法的	引導
launch	發射;開始	合法的	引導	（使）傾斜
lawful	合法的	引導	（使）傾斜	有學問的,博學的;精通的
lead	引導	（使）傾斜	有學問的,博學的;精通的	學習;學問,學識
lean	（使）傾斜	有學問的,博學的;精通的	學習;學問,學識	講課;訓斥
learned	有學問的,博學的;精通的	學習;學問,學識	講課;訓斥	講師
learning	學習;學問,學識	講課;訓斥	講師	傳說;傳奇故事
lecture	講課;訓斥	講師	傳說;傳奇故事	從容不迫的,悠閒的
lecturer	講師	傳說;傳奇故事	從容不迫的,悠閒的	許可,准許;發許可證給
legend	傳說;傳奇故事	從容不迫的,悠閒的	許可,准許;發許可證給	使光明,照亮
leisurely	從容不迫的,悠閒的	許可,准許;發許可證給	使光明,照亮	極限,限度
license	許可,准許;發許可證給	使光明,照亮	極限,限度	酒;含酒精飲料
lighten	使光明,照亮	極限,限度	酒;含酒精飲料	文學的,文藝的
limitation	極限,限度	酒;含酒精飲料	文學的,文藝的	文學;文學作品
liquor	酒;含酒精飲料	文學的,文藝的	文學;文學作品	借出,貸與
literary	文學的,文藝的	文學;文學作品	借出,貸與	位置
literature 	文學;文學作品	借出,貸與	位置	(公共場所的)衣物櫃
loan	借出,貸與	位置	(公共場所的)衣物櫃	邏輯;邏輯學
location	位置	(公共場所的)衣物櫃	邏輯;邏輯學	合邏輯的;合理的
locker	(公共場所的)衣物櫃	邏輯;邏輯學	合邏輯的;合理的	乳液
logic	邏輯;邏輯學	合邏輯的;合理的	乳液	不潔的;卑鄙的;討厭的
logical	合邏輯的;合理的	乳液	不潔的;卑鄙的;討厭的	忠誠的,忠心的
