conscience	良心;道義心	結果,後果	隨之發生的	保守的,守舊的
consequence	結果,後果	隨之發生的	保守的,守舊的	組成,構成
consequent	隨之發生的	保守的,守舊的	組成,構成	始終如一的,前後一致的
conservative	保守的,守舊的	組成,構成	始終如一的,前後一致的	子音
consist	組成,構成	始終如一的,前後一致的	子音	構成,組成
consistent	始終如一的,前後一致的	子音	構成,組成	憲法
consonant	子音	構成,組成	憲法	建造,構成
constitute	構成,組成	憲法	建造,構成	建造,建設
constitution	憲法	建造,構成	建造,建設	建設性的;積極的;有助益的
construct	建造,構成	建造,建設	建設性的;積極的;有助益的	商議，諮詢
construction	建造,建設	建設性的;積極的;有助益的	商議，諮詢	顧問
constructive	建設性的;積極的;有助益的	商議，諮詢	顧問	吃光，喝光
consult	商議，諮詢	顧問	吃光，喝光	消費者;消耗者
consultant	顧問	吃光，喝光	消費者;消耗者	容器
consume	吃光，喝光	消費者;消耗者	容器	滿意的;甘願的
consumer	消費者;消耗者	容器	滿意的;甘願的	競爭,角逐;爭辯
container	容器	滿意的;甘願的	競爭,角逐;爭辯	上下文;文章脈絡
content	滿意的;甘願的	競爭,角逐;爭辯	上下文;文章脈絡	不間斷的,連續的
contest	競爭,角逐;爭辯	上下文;文章脈絡	不間斷的,連續的	連續的,不斷的
context	上下文;文章脈絡	不間斷的,連續的	連續的,不斷的	相反的,對立的
continual	不間斷的,連續的	連續的,不斷的	相反的,對立的	使對比,使對照
continuous	連續的,不斷的	相反的,對立的	使對比,使對照	捐獻,捐助;貢獻,出力
contrary	相反的,對立的	使對比,使對照	捐獻,捐助;貢獻,出力	貢獻
contrast	使對比,使對照	捐獻,捐助;貢獻,出力	貢獻	方便;合宜
contribute	捐獻,捐助;貢獻,出力	貢獻	方便;合宜	會議,大會
contribution	貢獻	方便;合宜	會議,大會	習慣的,慣例的
convenience	方便;合宜	會議,大會	習慣的,慣例的	交談,談話
convention	會議,大會	習慣的,慣例的	交談,談話	運送
conventional	習慣的,慣例的	交談,談話	運送	使信服;說服
converse	交談,談話	運送	使信服;說服	合作,協作;(事物)配合
convey	運送	使信服;說服	合作,協作;(事物)配合	合作;協力
convince	使信服;說服	合作,協作;(事物)配合	合作;協力	合作的
cooperate	合作,協作;(事物)配合	合作;協力	合作的	競爭
cooperation	合作;協力	合作的	競爭	銅
cooperative	合作的	競爭	銅	細繩,粗線,索
cope	競爭	銅	細繩,粗線,索	用軟木塞塞住;抑制
copper	銅	細繩,粗線,索	用軟木塞塞住;抑制	符合,一致
cord	細繩,粗線,索	用軟木塞塞住;抑制	符合,一致	服裝,裝束
cork	用軟木塞塞住;抑制	符合,一致	服裝,裝束	小屋
correspond	符合,一致	服裝,裝束	小屋	會議;委員會
