violation	違反	未玷污的	美德;優點	病毒
virgin	未玷污的	美德;優點	病毒	視力的;光學的
virtue	美德;優點	病毒	視力的;光學的	充滿活力的;致命的
virus	病毒	視力的;光學的	充滿活力的;致命的	火山
visual	視力的;光學的	充滿活力的;致命的	火山	自願的
vital	充滿活力的;致命的	火山	自願的	自願(做)
volcano	火山	自願的	自願(做)	母音字母
voluntary	自願的	自願(做)	母音字母	航行;旅行
volunteer	自願(做)	母音字母	航行;旅行	核桃
vowel	母音字母	航行;旅行	核桃	網站
voyage	航行;旅行	核桃	網站	每週的;一週一次的
walnut	核桃	網站	每週的;一週一次的	福利;社會救濟
website	網站	每週的;一週一次的	福利;社會救濟	機智;風趣
weekly	每週的;一週一次的	福利;社會救濟	機智;風趣	女巫,巫婆
welfare	福利;社會救濟	機智;風趣	女巫,巫婆	提取
wit	機智;風趣	女巫,巫婆	提取	目擊;為...作證
witch/wizard	女巫,巫婆	提取	目擊;為...作證	遇難;受到破壞
withdraw	提取	目擊;為...作證	遇難;受到破壞	起皺紋
witness	目擊;為...作證	遇難;受到破壞	起皺紋	每年的
wreck	遇難;受到破壞	起皺紋	每年的	優格
wrinkle	起皺紋	每年的	優格	年輕的;富青春活力的
yearly	每年的	優格	年輕的;富青春活力的	攝氏的
yogurt	優格	年輕的;富青春活力的	攝氏的	計劃
youthful 	年輕的;富青春活力的	攝氏的	計劃	忍受
