quotation	引用;引證;引文;報價	發怒,怒斥	降雨,下雨;降雨量	現實的
rage	發怒,怒斥	降雨,下雨;降雨量	現實的	反叛
rainfall	降雨,下雨;降雨量	現實的	反叛	回憶;使想起;召回
realistic	現實的	反叛	回憶;使想起;召回	接待,接見;接待處
rebel 	反叛	回憶;使想起;召回	接待,接見;接待處	食譜
recall	回憶;使想起;召回	接待,接見;接待處	食譜	背誦;朗誦;詳述
reception	接待,接見;接待處	食譜	背誦;朗誦;詳述	認出,識別;承認
recipe	食譜	背誦;朗誦;詳述	認出,識別;承認	恢復,復甦;復元,痊癒
recite	背誦;朗誦;詳述	認出,識別;承認	恢復,復甦;復元,痊癒	消遣;娛樂
recognition	認出,識別;承認	恢復,復甦;復元,痊癒	消遣;娛樂	回收再利用
recovery	恢復,復甦;復元,痊癒	消遣;娛樂	回收再利用	減少;削減
recreation	消遣;娛樂	回收再利用	減少;削減	論及,談到;參考
recycle	回收再利用	減少;削減	論及,談到;參考	參考文獻;出處;提及
reduction	減少;削減	論及,談到;參考	參考文獻;出處;提及	反射;照出,映出
refer	論及,談到;參考	參考文獻;出處;提及	反射;照出,映出	反射;回響
reference	參考文獻;出處;提及	反射;照出,映出	反射;回響	改革,革新
reflect	反射;照出,映出	反射;回響	改革,革新	使得到補充
reflection	反射;回響	改革,革新	使得到補充	難民;流亡者
reform	改革,革新	使得到補充	難民;流亡者	拒絕
refresh	使得到補充	難民;流亡者	拒絕	關於;就...而論
refugee	難民;流亡者	拒絕	關於;就...而論	註冊,申報
refusal	拒絕	關於;就...而論	註冊,申報	登記,註冊,掛號
regarding	關於;就...而論	註冊,申報	登記,註冊,掛號	為...制訂規章;調節
register	註冊,申報	登記,註冊,掛號	為...制訂規章;調節	規章;規則,規定;條例
registration	登記,註冊,掛號	為...制訂規章;調節	規章;規則,規定;條例	拒絕;退回
regulate	為...制訂規章;調節	規章;規則,規定;條例	拒絕;退回	相對的
regulation	規章;規則,規定;條例	拒絕;退回	相對的	放鬆
rejection	拒絕;退回	相對的	放鬆	緩和,減輕;解除
relative 	相對的	放鬆	緩和,減輕;解除	不情願的;勉強的
relaxation	放鬆	緩和,減輕;解除	不情願的;勉強的	議論;評論
relieve	緩和,減輕;解除	不情願的;勉強的	議論;評論	非凡的;卓越的
reluctant	不情願的;勉強的	議論;評論	非凡的;卓越的	補救;糾正;去除(弊病等)
remark	議論;評論	非凡的;卓越的	補救;糾正;去除(弊病等)	重複;反覆
remarkable	非凡的;卓越的	補救;糾正;去除(弊病等)	重複;反覆	代表,代理
remedy	補救;糾正;去除(弊病等)	重複;反覆	代表,代理	名譽,名聲
repetition	重複;反覆	代表,代理	名譽,名聲	援救;營救
representation	代表,代理	名譽,名聲	援救;營救	調查,探究
reputation	名譽,名聲	援救;營救	調查,探究	研究員;調查者
rescue	援救;營救	調查,探究	研究員;調查者	像,類似
research	調查,探究	研究員;調查者	像,類似	保留(意見);預訂的房間(或席座)
