bulletin	公報;公告	櫃子	計算	計算;估計,推測;盤算
cabinet	櫃子	計算	計算;估計,推測;盤算	計算機
calculate 	計算	計算;估計,推測;盤算	計算機	卡路里
calculation	計算;估計,推測;盤算	計算機	卡路里	參加競選
calculator	計算機	卡路里	參加競選	候補者
calorie	卡路里	參加競選	候補者	容量,容積
campaign	參加競選	候補者	容量,容積	岬,海角
candidate	候補者	容量,容積	岬,海角	首都
capacity	容量,容積	岬,海角	首都	資本主義者
cape	岬,海角	首都	資本主義者	職業
capital	首都	資本主義者	職業	(船、飛機、車輛裝載的)貨物
capitalist	資本主義者	職業	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者
career	職業	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者	刻,雕刻
cargo	(船、飛機、車輛裝載的)貨物	運送人;從事運輸業公司;帶菌者	刻,雕刻	為...編目;登記,記載
carrier	運送人;從事運輸業公司;帶菌者	刻,雕刻	為...編目;登記,記載	激光唱片
carve	刻,雕刻	為...編目;登記,記載	激光唱片	停止,終止
catalogue/catalog	為...編目;登記,記載	激光唱片	停止,終止	慶祝
CD/compact disk	激光唱片	停止,終止	慶祝	黏緊,黏牢
cease	停止,終止	慶祝	黏緊,黏牢	室,房間;議院
celebration	慶祝	黏緊,黏牢	室,房間;議院	冠軍的地位
cement	黏緊,黏牢	室,房間;議院	冠軍的地位	特有的,獨特的
chamber	室,房間;議院	冠軍的地位	特有的,獨特的	施捨;善舉
championship	冠軍的地位	特有的,獨特的	施捨;善舉	化學
characteristic	特有的,獨特的	施捨;善舉	化學	撫育;愛護
charity	施捨;善舉	化學	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話
chemistry	化學	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務
cherish	撫育;愛護	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務	合唱團
chirp	鳥發啾聲;蟲發唧聲;人嘁喳說話	家庭雜務	合唱團	雪茄煙
chore	家庭雜務	合唱團	雪茄煙	電影院;電影;電影業
chorus	合唱團	雪茄煙	電影院;電影;電影業	圓形的;環形的
cigar	雪茄煙	電影院;電影;電影業	圓形的;環形的	流通;發行
cinema	電影院;電影;電影業	圓形的;環形的	流通;發行	發行量
circular	圓形的;環形的	流通;發行	發行量	境況;境遇
circulate	流通;發行	發行量	境況;境遇	百姓的;民用的
circulation	發行量	境況;境遇	百姓的;民用的	文明
circumstance	境況;境遇	百姓的;民用的	文明	澄清;闡明
civilian	百姓的;民用的	文明	澄清;闡明	砰地相碰撞
civilization	文明	澄清;闡明	砰地相碰撞	分類;分級
clarify	澄清;闡明	砰地相碰撞	分類;分級	將...分類
clash	砰地相碰撞	分類;分級	將...分類	懸崖,峭壁
