fortunate	幸運的,僥倖的	化石的;守舊的	建立,創辦;基礎;基金會	創立者;奠基者
fossil	化石的;守舊的	建立,創辦;基礎;基金會	創立者;奠基者	芬芳;香味
foundation	建立,創辦;基礎;基金會	創立者;奠基者	芬芳;香味	香的
founder	創立者;奠基者	芬芳;香味	香的	給...裝框子
fragrance	芬芳;香味	香的	給...裝框子	高速公路
fragrant	香的	給...裝框子	高速公路	頻率,次數
frame	給...裝框子	高速公路	頻率,次數	一年級生,新生
freeway	高速公路	頻率,次數	一年級生,新生	結霜
frequency	頻率,次數	一年級生,新生	結霜	皺眉;表示不滿
freshman	一年級生,新生	結霜	皺眉;表示不滿	失望;挫折
frost	結霜	皺眉;表示不滿	失望;挫折	加燃料;加油;燃料
frown	皺眉;表示不滿	失望;挫折	加燃料;加油;燃料	達成
frustration	失望;挫折	加燃料;加油;燃料	達成	機能的;實用的
fuel	加燃料;加油;燃料	達成	機能的;實用的	基礎的;根本的
fulfill	達成	機能的;實用的	基礎的;根本的	喪葬,葬儀
functional	機能的;實用的	基礎的;根本的	喪葬,葬儀	狂怒的
fundamental	基礎的;根本的	喪葬,葬儀	狂怒的	提供，配置
funeral	喪葬,葬儀	狂怒的	提供，配置	而且,此外,再者
furious	狂怒的	提供，配置	而且,此外,再者	畫廊,美術館
furnish	提供，配置	而且,此外,再者	畫廊,美術館	歹徒,匪盜,流氓
furthermore	而且,此外,再者	畫廊,美術館	歹徒,匪盜,流氓	凝視
gallery	畫廊,美術館	歹徒,匪盜,流氓	凝視	使適應,使適合
gangster	歹徒,匪盜,流氓	凝視	使適應,使適合	基因,遺傳因子
gaze	凝視	使適應,使適合	基因,遺傳因子	世代;產生
gear	使適應,使適合	基因,遺傳因子	世代;產生	寬宏大量;慷慨
gene	基因,遺傳因子	世代;產生	寬宏大量;慷慨	天才
generation	世代;產生	寬宏大量;慷慨	天才	真的
generosity	寬宏大量;慷慨	天才	真的	微生物;細菌;病菌
genius	天才	真的	微生物;細菌;病菌	有天資的,有天賦的
genuine	真的	微生物;細菌;病菌	有天資的,有天賦的	巨大的,龐大的
germ	微生物;細菌;病菌	有天資的,有天賦的	巨大的,龐大的	咯咯地笑;傻笑
gifted	有天資的,有天賦的	巨大的,龐大的	咯咯地笑;傻笑	生薑,薑
gigantic	巨大的,龐大的	咯咯地笑;傻笑	生薑,薑	滑動,滑行
giggle	咯咯地笑;傻笑	生薑,薑	滑動,滑行	看一眼
ginger	生薑,薑	滑動,滑行	看一眼	地球儀
glide	滑動,滑行	看一眼	地球儀	壯觀的,壯麗的
glimpse	看一眼	地球儀	壯觀的,壯麗的	商品;貨物
globe	地球儀	壯觀的,壯麗的	商品;貨物	使優美
glorious	壯觀的,壯麗的	商品;貨物	使優美	優美的,雅緻的
goods	商品;貨物	使優美	優美的,雅緻的	親切的;和藹的
