timid	膽小的;羞怯的	令人厭倦的	可忍受的;可容忍的	寬容,寬大
tiresome	令人厭倦的	可忍受的;可容忍的	寬容,寬大	忍受的,容忍的
tolerable	可忍受的;可容忍的	寬容,寬大	忍受的,容忍的	忍受;寬恕;容許
tolerance	寬容,寬大	忍受的,容忍的	忍受;寬恕;容許	墓;墓碑
tolerant	忍受的,容忍的	忍受;寬恕;容許	墓;墓碑	堅韌的,牢固的;頑固的;棘手的
tolerate	忍受;寬恕;容許	墓;墓碑	堅韌的,牢固的;頑固的;棘手的	悲劇
tomb	墓;墓碑	堅韌的,牢固的;頑固的;棘手的	悲劇	悲慘的,不幸的
tough	堅韌的,牢固的;頑固的;棘手的	悲劇	悲慘的,不幸的	移交;轉讓
tragedy	悲劇	悲慘的,不幸的	移交;轉讓	使改變;使轉化
tragic	悲慘的,不幸的	移交;轉讓	使改變;使轉化	翻譯
transfer	移交;轉讓	使改變;使轉化	翻譯	譯文;譯本
transform	使改變;使轉化	翻譯	譯文;譯本	譯者
translate	翻譯	譯文;譯本	譯者	運輸;輸送;交通車輛
translation	譯文;譯本	譯者	運輸;輸送;交通車輛	巨大的;極度的,驚人的
translator	譯者	運輸;輸送;交通車輛	巨大的;極度的,驚人的	部落的;種族的
transportation	運輸;輸送;交通車輛	巨大的;極度的,驚人的	部落的;種族的	獲得勝利
tremendous	巨大的;極度的,驚人的	部落的;種族的	獲得勝利	麻煩的,棘手的
tribal	部落的;種族的	獲得勝利	麻煩的,棘手的	拔河
triumph	獲得勝利	麻煩的,棘手的	拔河	閃爍
troublesome	麻煩的,棘手的	拔河	閃爍	打字員
tug-of-war	拔河	閃爍	打字員	地下道
twinkle	閃爍	打字員	地下道	獨特的
typist	打字員	地下道	獨特的	宇宙的;通用的
underpass 	地下道	獨特的	宇宙的;通用的	大學
unique	獨特的	宇宙的;通用的	大學	[電腦]上載
universal	宇宙的;通用的	大學	[電腦]上載	城市的
university	大學	[電腦]上載	城市的	催促;力勸
upload	[電腦]上載	城市的	催促;力勸	緊急的,急迫的
urban	城市的	催促;力勸	緊急的,急迫的	使用,用法
urge	催促;力勸	緊急的,急迫的	使用,用法	愛虛榮的;徒然的
urgent	緊急的,急迫的	使用,用法	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的
usage	使用,用法	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的	素食者
vain	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的	素食者	動詞
vast	廣闊的,浩瀚的;非常的	素食者	動詞	很;非常
vegetarian	素食者	動詞	很;非常	船,艦;器皿;血管
verb	動詞	很;非常	船,艦;器皿;血管	醋
very 	很;非常	船,艦;器皿;血管	醋	違反
vessel	船,艦;器皿;血管	醋	違反	違反
vinegar	醋	違反	違反	未玷污的
violate	違反	違反	未玷污的	美德;優點
