sculpture	雕刻	海鷗	年資較深的;四年級生的	殖民者;開拓者
seagull/gull	海鷗	年資較深的;四年級生的	殖民者;開拓者	嚴厲的
senior	年資較深的;四年級生的	殖民者;開拓者	嚴厲的	丟臉的
settler	殖民者;開拓者	嚴厲的	丟臉的	理髮師
severe	嚴厲的	丟臉的	理髮師	遮蔽;庇護
shameful	丟臉的	理髮師	遮蔽;庇護	轉移;移動
shaver	理髮師	遮蔽;庇護	轉移;移動	近視的;目光短淺的,缺乏遠見的
shelter	遮蔽;庇護	轉移;移動	近視的;目光短淺的,缺乏遠見的	聳(肩)
shift	轉移;移動	近視的;目光短淺的,缺乏遠見的	聳(肩)	短程穿梭般運送
shortsighted	近視的;目光短淺的,缺乏遠見的	聳(肩)	短程穿梭般運送	觀光,遊覽
shrug	聳(肩)	短程穿梭般運送	觀光,遊覽	簽名,簽署
shuttle	短程穿梭般運送	觀光,遊覽	簽名,簽署	重要性,重要
sightseeing	觀光,遊覽	簽名,簽署	重要性,重要	真實;誠心誠意
signature	簽名,簽署	重要性,重要	真實;誠心誠意	單數的;獨個的
significance	重要性,重要	真實;誠心誠意	單數的;獨個的	為...選址;設置
sincerity	真實;誠心誠意	單數的;獨個的	為...選址;設置	寫生;速寫;為...繪草圖
singular	單數的;獨個的	為...選址;設置	寫生;速寫;為...繪草圖	乘雪橇
site	為...選址;設置	寫生;速寫;為...繪草圖	乘雪橇	駕雪橇;用雪橇運輸
sketch	寫生;速寫;為...繪草圖	乘雪橇	駕雪橇;用雪橇運輸	微小的
sledge/sled	乘雪橇	駕雪橇;用雪橇運輸	微小的	口號,標語
sleigh	駕雪橇;用雪橇運輸	微小的	口號,標語	煙霧
slight	微小的	口號,標語	煙霧	打噴嚏
slogan	口號,標語	煙霧	打噴嚏	嗚咽;啜泣
smog	煙霧	打噴嚏	嗚咽;啜泣	插座;插口
sneeze	打噴嚏	嗚咽;啜泣	插座;插口	軟體
sob	嗚咽;啜泣	插座;插口	軟體	太陽的;日光的
socket	插座;插口	軟體	太陽的;日光的	(大學;高中的)二年級學生
software	軟體	太陽的;日光的	(大學;高中的)二年級學生	悲傷的;令人傷心的
solar	太陽的;日光的	(大學;高中的)二年級學生	悲傷的;令人傷心的	紀念品,紀念物
sophomore	(大學;高中的)二年級學生	悲傷的;令人傷心的	紀念品,紀念物	多餘的,剩下的;空閒的
sorrowful	悲傷的;令人傷心的	紀念品,紀念物	多餘的,剩下的;空閒的	發動;點燃
souvenir	紀念品,紀念物	多餘的,剩下的;空閒的	發動;點燃	發火花;閃耀;煥發
spare	多餘的,剩下的;空閒的	發動;點燃	發火花;閃耀;煥發	麻雀
spark	發動;點燃	發火花;閃耀;煥發	麻雀	刺,戳
sparkle	發火花;閃耀;煥發	麻雀	刺,戳	種類;種
sparrow	麻雀	刺,戳	種類;種	辛辣的;痛快的
spear	刺,戳	種類;種	辛辣的;痛快的	心靈的;崇高純潔的
species	種類;種	辛辣的;痛快的	心靈的;崇高純潔的	燦爛的;傑出的
spicy	辛辣的;痛快的	心靈的;崇高純潔的	燦爛的;傑出的	劈開;切開
spiritual	心靈的;崇高純潔的	燦爛的;傑出的	劈開;切開	運動家;願意冒險的人
