distinct	顯著的	區別;識別	卓越的;著名的	分發;分配
distinguish	區別;識別	卓越的;著名的	分發;分配	分發;分配
distinguished	卓越的;著名的	分發;分配	分發;分配	地區
distribute	分發;分配	分發;分配	地區	妨礙,打擾
distribution	分發;分配	地區	妨礙,打擾	神授的,天賜的
district	地區	妨礙,打擾	神授的,天賜的	與...離婚,使離婚
disturb	妨礙,打擾	神授的,天賜的	與...離婚,使離婚	佔優勢的,支配的,統治的
divine	神授的,天賜的	與...離婚,使離婚	佔優勢的,支配的,統治的	支配,統治,控制
divorce	與...離婚,使離婚	佔優勢的,支配的,統治的	支配,統治,控制	學生宿舍
dominant	佔優勢的,支配的,統治的	支配,統治,控制	學生宿舍	下載
dominate	支配,統治,控制	學生宿舍	下載	打瞌睡,打盹
dormitory/dorm	學生宿舍	下載	打瞌睡,打盹	起草;設計
download	下載	打瞌睡,打盹	起草;設計	懼怕;擔心
doze	打瞌睡,打盹	起草;設計	懼怕;擔心	漂流
draft	起草;設計	懼怕;擔心	漂流	鑽(孔);在...上鑽孔
dread	懼怕;擔心	漂流	鑽(孔);在...上鑽孔	經久的,耐用的
drift	漂流	鑽(孔);在...上鑽孔	經久的,耐用的	滿是灰塵的
drill	鑽(孔);在...上鑽孔	經久的,耐用的	滿是灰塵的	DVD
durable	經久的,耐用的	滿是灰塵的	DVD	染料
dusty	滿是灰塵的	DVD	染料	動態的
DVD/digital video disk/	DVD	染料	動態的	王朝;朝代
dye	染料	動態的	王朝;朝代	傳送電子郵件
dynamic	動態的	王朝;朝代	傳送電子郵件	誠摯的;熱心的
dynasty	王朝;朝代	傳送電子郵件	誠摯的;熱心的	耳機
e-mail/email	傳送電子郵件	誠摯的;熱心的	耳機	經濟上的;經濟學的
earnest	誠摯的;熱心的	耳機	經濟上的;經濟學的	經濟的,節約的
earphone	耳機	經濟上的;經濟學的	經濟的,節約的	經濟學
economic	經濟上的;經濟學的	經濟的,節約的	經濟學	經濟學者
economical	經濟的,節約的	經濟學	經濟學者	節約,節省
economics	經濟學	經濟學者	節約,節省	效率;效能
economist	經濟學者	節約,節省	效率;效能	有彈性的
economy	節約,節省	效率;效能	有彈性的	電工;電氣技師
efficiency	效率;效能	有彈性的	電工;電氣技師	電子學
elastic	有彈性的	電工;電氣技師	電子學	優美的,漂亮的
electrician	電工;電氣技師	電子學	優美的,漂亮的	基本的;初級的,基礎的
electronics	電子學	優美的,漂亮的	基本的;初級的,基礎的	排除,消除
elegant	優美的,漂亮的	基本的;初級的,基礎的	排除,消除	在別處;往別處
elementary	基本的;初級的,基礎的	排除,消除	在別處;往別處	使困窘
eliminate	排除,消除	在別處;往別處	使困窘	大使館
elsewhere	在別處;往別處	使困窘	大使館	浮現;出現
