hook	用鉤鉤住	抱有希望的	水平線	使恐懼,使驚懼
hopeful	抱有希望的	水平線	使恐懼,使驚懼	水管
horizon	水平線	使恐懼,使驚懼	水管	主人
horrify	使恐懼,使驚懼	水管	主人	旅舍
hose	水管	主人	旅舍	一家人;家眷;家庭,戶
host 	主人	旅舍	一家人;家眷;家庭,戶	家庭主婦
hostel	旅舍	一家人;家眷;家庭,戶	家庭主婦	家務
household	一家人;家眷;家庭,戶	家庭主婦	家務	人性;人道;慈愛
housewife	家庭主婦	家務	人性;人道;慈愛	濕氣,濕度
housework	家務	人性;人道;慈愛	濕氣,濕度	颶風,暴風雨
humanity	人性;人道;慈愛	濕氣,濕度	颶風,暴風雨	氫
humidity	濕氣,濕度	颶風,暴風雨	氫	浮在海洋上的巨大冰塊
hurricane	颶風,暴風雨	氫	浮在海洋上的巨大冰塊	完全相同的
hydrogen	氫	浮在海洋上的巨大冰塊	完全相同的	認出;識別
iceberg	浮在海洋上的巨大冰塊	完全相同的	認出;識別	確認;識別
identical	完全相同的	認出;識別	確認;識別	成語
identification/ID	認出;識別	確認;識別	成語	不認真的
identify	確認;識別	成語	不認真的	偶像
idiom	成語	不認真的	偶像	無知的,不學無術的
idle	不認真的	偶像	無知的,不學無術的	(用圖,實例等)說明
idol	偶像	無知的,不學無術的	(用圖,實例等)說明	說明,圖解
ignorant	無知的,不學無術的	(用圖,實例等)說明	說明,圖解	能想像的
illustrate	(用圖,實例等)說明	說明,圖解	能想像的	虛構的;幻想的
illustration	說明,圖解	能想像的	虛構的;幻想的	虛構的;幻想的
imaginable	能想像的	虛構的;幻想的	虛構的;幻想的	模仿
imaginary	虛構的;幻想的	虛構的;幻想的	模仿	模仿,模擬;仿造;偽造
imaginative	虛構的;幻想的	模仿	模仿,模擬;仿造;偽造	移民
imitate	模仿	模仿,模擬;仿造;偽造	移民	遷入
imitation	模仿,模擬;仿造;偽造	移民	遷入	移居
immigrant	移民	遷入	移居	壓緊;擠滿
immigrate	遷入	移居	壓緊;擠滿	暗指;暗示;意味著
immigration	移居	壓緊;擠滿	暗指;暗示;意味著	印象
impact	壓緊;擠滿	暗指;暗示;意味著	印象	事件;事變
imply	暗指;暗示;意味著	印象	事件;事變	包括
impression	印象	事件;事變	包括	指示;指點
incident	事件;事變	包括	指示;指點	使工業化
including	包括	指示;指點	使工業化	嬰兒
indication	指示;指點	使工業化	嬰兒	傳染;侵染;感染
industrialize	使工業化	嬰兒	傳染;侵染;感染	傳染;侵染
infant	嬰兒	傳染;侵染;感染	傳染;侵染	通貨膨脹
